Week	Date	Opponent	Result	Attendance
1	September 9, 2001	Miami Dolphins	L 23-31	68,798
2	September 23, 2001	at Jacksonville Jaguars	L 6-13	65,994
3	Bye	Bye	Bye	Bye
4	October 7, 2001	at Baltimore Ravens	L 7-26	69,494
5	October 14, 2001	Tampa Bay Buccaneers	W 31–28	68,798
6	October 21, 2001	at Detroit Lions	W 27–24	76,940
7	October 29, 2001	at Pittsburgh Steelers	L 7-34	63,763
8	November 4, 2001	Jacksonville Jaguars	W 28–24	68,798
9	November 12, 2001	Baltimore Ravens	L 10-16	68,798
10	November 18, 2001	at Cincinnati Bengals	W 20–7	63,865
11	November 25, 2001	Pittsburgh Steelers	L 24-34	68,801
12	December 2, 2001	at Cleveland Browns	W 31–15	72,818
13	December 9, 2001	at Minnesota Vikings	L 24-42	64,271
14	December 16, 2001	Green Bay Packers	W 26–20	68,804
15	December 22, 2001	at Oakland Raiders	W 13–10	61,934
16	December 30, 2001	Cleveland Browns	L 38-41	68,798
17	January 6, 2002	Cincinnati Bengals	L 21-23	68,798
