Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
6	June 1	@ Chicago	W 75-73	Whalen , Whitmore (19)	Whalen (7)	Whalen (7)	UIC Pavilion 2,276	5-1
7	June 6	Minnesota	W 78-77	Jones (25)	Whalen (9)	Anderson , Gardin (5)	Mohegan Sun Arena 6,327	6-1
8	June 8	Washington	W 87-79	Jones (16)	Whalen (7)	Whalen (7)	Mohegan Sun Arena 7,174	7-1
9	June 10	@ Minnesota	W 75-66	Jones (18)	Whitmore (12)	Whalen (6)	Target Center 7,186	8-1
10	June 13	@ Los Angeles	L 93-98 (OT)	Whalen (20)	Whalen (7)	Jones (3)	STAPLES Center 8,702	8-2
11	June 16	@ Seattle	W 74-67	Jones (15)	Raymond (9)	Whitmore (4)	KeyArena 6,872	9-2
12	June 18	@ Phoenix	L 81-102	Jones (18)	Turner (5)	Whalen (5)	US Airways Center 4,478	9-3
13	June 20	@ Sacramento	W 72-56	Jones (14)	Whalen , Anderson (6)	Whalen (5)	ARCO Arena 5,895	10-3
14	June 24	Detroit	W 85-68	Jones (20)	Holt (8)	Whalen (6)	Mohegan Sun Arena 7,501	11-3
15	June 26	@ Detroit	L 61-70	Jones (14)	Jones (7)	Whalen (4)	Mohegan Sun Arena 7,501	11-4
16	June 27	Atlanta	W 109-101 (OT)	Jones (30)	Jones , Whalen (10)	Holt (8)	Mohegan Sun Arena 7,612	12-4
17	June 29	Phoenix	L 80-87	Jones (16)	Jones (9)	Whalen (8)	Mohegan Sun Arena 9,518 (sellout)	12-5
