Goal	Date	Score	Result	Competition
1.	10 August 2011	1–0	1–1	Friendly
2.	25 January 2012	3–1	3–1	Friendly
3.	12 October 2012	2–0	5–0	2014 FIFA World Cup qualification
4.	16 October 2012	1–0	2–0	2014 FIFA World Cup qualification
5.	14 August 2013	2–0	4–1	Friendly
6.	14 August 2013	3–0	4–1	Friendly
7.	6 September 2013	1–0	1–2	2014 FIFA World Cup qualification
8.	11 October 2013	1–0	2–1	2014 FIFA World Cup qualification
9.	15 October 2013	1–1	1–2	2014 FIFA World Cup qualification
10.	30 October 2013	3–1	4–2	Friendly
