Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	16 February 2008	Majorca , Spain	Clay	Polona Hercog	Leticia Costas Maite Gabarrus-Alonso	7–6 (7–2) , 6–3
Runner-up	19 April 2008	Bari , Italy	Clay	Polona Hercog	Alberta Brianti Anna Floris	3–6, 3–6
Winner	4 May 2008	Makarska , Croatia	Clay	Polona Hercog	Tadeja Majeric Maša Zec Peškirič	7–5, 6–2
Runner-up	11 April 2010	Hvar , Croatia	Clay	Leonie Mekel	Marlot Meddens Nicole Thyssen	4–6, 1–6
Runner-up	31 October 2010	Cairo , Egypt	Clay	Maša Zec Peškirič	Réka-Luca Jani Martina Kubičíková	7–6 (7–4) , 1–6, [9–11]
Runner-up	3 July 2011	Stuttgart-Vaihingen , Germany	Clay	Hana Birnerová	Darija Jurak Anaïs Laurendon	6–4, 1–6, [0–10]
Runner-up	10 July 2011	Aschaffenburg , Germany	Clay	Hana Birnerová	Pemra Özgen Yurika Sema	4–6, 6–7 (5–7)
Runner-up	23 October 2011	Glasgow , United Kingdom	Hard (i)	Yvonne Meusburger	Emma Laine Kristina Mladenovic	2–6, 4–6
Winner	25 March 2012	Bath , United Kingdom	Hard (i)	Tatjana Malek	Julie Coin Melanie South	6–3, 3–6, [10–3]
Runner-up	6 April 2012	Tessenderlo , Belgium	Clay (i)	Tatjana Malek	Demi Schuurs Maryna Zanevska	4–6, 3–6
Winner	15 July 2012	Aschaffenburg , Germany	Clay	Florencia Molinero	Malou Ejdesgaard Réka-Luca Jani	6–3, 7–6 (7–2)
Runner-up	13 April 2013	Edgbaston , United Kingdom	Hard (i)	Richèl Hogenkamp	Kristina Barrois Ana Vrljić	4–6, 6–7 (2–7)
Winner	4 May 2013	Civitavecchia , Italy	Clay	Renata Voráčová	Paula Kania Magda Linette	6–3, 6–4
Runner-up	30 June 2013	Stuttgart-Vaihingen , Germany	Clay	Sandra Zaniewska	Kristina Barrois Laura Siegemund	6–7 (1–7) , 4–6
Winner	6 September 2013	Mestre , Italy	Clay	Laura Thorpe	Petra Krejsová Tereza Smitková	7–6 (7–5) , 7-5
