Constellation	IAU abbreviation	Other abbreviation	Genitive	Family	Origin	Meaning	Brightest star
Andromeda /ænˈdrɒmɨdə/	And	Andr	Andromedae /ænˈdrɒmɨdiː/	Perseus	ancient ( Ptolemy )	Andromeda (The chained lady or the Princess)	Alpheratz
Antlia /ˈæntliə/	Ant	Antl	Antliae /ˈæntli.iː/	La Caille	1763, Lacaille	air pump	α Antliae
Aquarius /əˈkwɛəriəs/	Aqr	Aqar	Aquarii /əˈkwɛəriaɪ/	Zodiac	ancient ( Ptolemy )	water-bearer	Sadalsuud
Aquila /ˈækwɨlə/	Aql	Aqil	Aquilae /ˈækwɨliː/	Hercules	ancient ( Ptolemy )	eagle	Altair
Ara /ˈɛərə/	Ara	Arae	Arae /ˈɛəriː/	Hercules	ancient ( Ptolemy )	altar	β Arae
Aries /ˈɛəriːz/, /ˈɛərɪ.iːz/	Ari	Arie	Arietis /əˈraɪ.ɨtɨs/	Zodiac	ancient ( Ptolemy )	ram	Hamal
Auriga /ɔːˈraɪɡə/	Aur	Auri	Aurigae /ɔːˈraɪdʒiː/	Perseus	ancient ( Ptolemy )	charioteer	Capella
Boötes /boʊˈoʊtiːz/	Boo	Boot	Boötis /boʊˈoʊtɨs/	Ursa Major	ancient ( Ptolemy )	herdsman	Arcturus
Caelum /ˈsiːləm/	Cae	Cael	Caeli /ˈsiːlaɪ/	La Caille	1763, Lacaille	chisel	α Caeli
Camelopardalis /kəˌmɛlɵˈpɑrdəlɨs/	Cam	Caml	Camelopardalis / kəˌmɛlɵˈpɑrdəlɨs/	Ursa Major	1613, Plancius	giraffe	βCamelopardalis
Cancer /ˈkænsər/	Cnc	Canc	Cancri /ˈkæŋkraɪ/	Zodiac	ancient ( Ptolemy )	crab	Tarf
Canes Venatici /ˈkeɪniːz vɨˈnætɨsaɪ/	CVn	CVen	Canum Venaticorum /ˈkeɪnəm vɨnætɨˈkɒrəm/	Ursa Major	1690, Firmamentum Sobiescianum, Hevelius	hunting dogs	Cor Caroli
Canis Major /ˈkeɪnɨs ˈmeɪdʒər/	CMa	CMaj	Canis Majoris /ˈkeɪnɨs məˈdʒɒrɨs/	Orion	ancient ( Ptolemy )	greater dog	Sirius
Canis Minor /ˈkeɪnɨs ˈmaɪnər/	CMi	CMin	Canis Minoris /ˈkeɪnɨs mɨˈnɒrɨs/	Orion	ancient ( Ptolemy )	lesser dog	Procyon
