Transmitter	BBCA	BBCB	D3&4	ARQA	ARQB	Pol.	A.G.
Allenheads	27	21	24	N/A	N/A	V	A K
Alston	39	45	42	N/A	N/A	V	B E K
Bellingham	27	21	24	N/A	N/A	V	A K
Blaydon Burn	44	47	41	N/A	N/A	V	B E K
Byrness	27	21	24	N/A	N/A	V	A K
Catton Beacon	40	46	43	N/A	N/A	V	B E K
Durham	41	47	44	N/A	N/A	V	B E K
Esh	39	45	42	N/A	N/A	V	B E K
Felling	40	43	46	N/A	N/A	V	B E K
Fenham	27	21+	24	22+	28	V	A K
Haltwhistle	59	55	62-	N/A	N/A	V	C/D E
Haydon Bridge	44	41	47	N/A	N/A	V	B E K
Hedleyhope	41	47	44	N/A	N/A	V	B E K
Humshaugh	39	45	42	N/A	N/A	V	B E K
Ireshopeburn	55	59	50	N/A	N/A	V	C/D E
Kielder	26	23	29	N/A	N/A	V	A K
Morpeth	22	28	25	N/A	N/A	V	A K
Newton	26	23	29	N/A	N/A	V	A K
Seaham	44	47	46	N/A	N/A	V	B E K
Shotleyfield	22	28	25	N/A	N/A	V	A K
Staithes	52	51	48	N/A	N/A	V	B C/D E
Sunderland	52	51	48	N/A	N/A	V	B C/D E
Wall	52	51	48	N/A	N/A	H	B C/D E
Weardale	44	41	47	N/A	N/A	V	B E K
Whitaside	44	41	47	N/A	N/A	V	B E K
