Res.	Record	Opponent	Method	Event	Round	Time
Win	9-5	John Cox	KO	LIP 1 - Lockdown in Paradise 1	1	0:30
Win	8-5	Flavio Troccoli	Submission (armbar)	HFP 2 - Hitman Fighting Productions 2	1	0:53
Loss	7-5	Din Thomas	Decision (unanimous)	UFC 33	3	5:00
Loss	7-4	Caol Uno	KO (punches)	UFC 32	1	1:48
Win	7-3	Phil Johns	Submission (armbar)	UFC 30	1	2:05
Win	6-3	Daiju Takase	TKO (strikes)	UFC 29	1	2:24
Win	5-3	Laverne Clark	Submission (armbar)	UFC 27	1	1:10
Win	4-3	Danny Bennett	Submission (armbar)	KOTC 4 - Gladiators	1	0:49
Loss	3-3	Dave Menne	Decision	UFC 24	3	5:00
Loss	3-2	Frank Trigg	TKO (strikes)	PRIDE 8	1	5:00
Loss	3-1	Laverne Clark	TKO (cut)	UFC 20	1	1:31
Win	3-0	Cleber Luciano	KO	EC 22 - Extreme Challenge 22	1	7:57
Win	2-0	Yves Edwards	Submission (armbar)	EC 22 - Extreme Challenge 22	1	3:56
Win	1-0	John Borsos	Submission (armbar)	NG 5 - Neutral Grounds 5	1	0:25
