Place	Player	Country	Score	To par
1	Tiger Woods	United States	67-68-70=205	–5
2	Sergio García	Spain	68-74-67=209	–1
T3	Jeff Maggert	United States	69-73-68=210	E
T3	Phil Mickelson	United States	70-73-67=210	E
T5	Robert Allenby	Australia	74-70-67=211	+1
T5	Pádraig Harrington	Ireland	70-68-73=211	+1
T5	Billy Mayfair	United States	69-74-68=211	+1
T8	Nick Faldo	England	70-76-66=212	+2
T8	Justin Leonard	United States	73-71-68=212	+2
T10	Tom Byrum	United States	72-72-70=214	+4
T10	Davis Love III	United States	71-71-72=214	+4
T10	Scott McCarron	United States	72-72-70=214	+4
