Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
30	January 2	Houston	97–93	Garnett (26)	Garnett (9)	Rondo (9)	TD Banknorth Garden 18,624	27–3
31	January 4	Memphis	100–96	Garnett , Pierce (23)	Pierce , Posey (10)	Allen , Garnett , Pierce (5)	TD Banknorth Garden 18,624	28–3
32	January 5	@ Detroit	92–85	Davis (20)	Perkins , Pierce (9)	Pierce (7)	The Palace of Auburn Hills 22,076	29–3
33	January 9	Charlotte	83–95	Garnett (24)	Perkins (10)	Garnett , Posey (4)	TD Banknorth Garden 18,624	29–4
34	January 11	@ New Jersey	86–77	Garnett (20)	Garnett (11)	Pierce (5)	Izod Center 20,049	30–4
35	January 12	@ Washington	78–85	Garnett (19)	Perkins (7)	Pierce (6)	Verizon Center 20,173	30–5
36	January 14	Washington	83–88	Garnett (23)	Garnett (9)	Garnett (6)	TD Banknorth Garden 18,624	30–6
37	January 16	Portland	100–90	Allen (35)	Pierce (8)	House , Pierce (5)	TD Banknorth Garden 18,624	31–6
38	January 18	Philadelphia	116–89	Allen (23)	Perkins (7)	Garnett (8)	TD Banknorth Garden 18,624	32–6
39	January 21	@ New York	109–93	Perkins (24)	Garnett (13)	Garnett , Pierce (7)	Madison Square Garden 19,763	33–6
40	January 23	Toronto	112–114	Garnett (26)	Garnett (7)	Pierce (9)	TD Banknorth Garden 18,624	33–7
41	January 25	Minnesota	87–86	Perkins (21)	Garnett (16)	Pierce (8)	TD Banknorth Garden 18,624	34–7
42	January 27	@ Orlando	93–96	Pierce (24)	Pierce , Powe (9)	Rondo (5)	Amway Arena 17,519	34–8
43	January 29	@ Miami	117–87	Powe (25)	Powe (11)	Allen (6)	American Airlines Arena 19,600	35–8
44	January 31	Dallas	96–90	Allen , Pierce (26)	Rondo (12)	Rondo (4)	TD Banknorth Garden 18,624	36–8
