Heat	Lane	Name	Country	Mark
1	6	Dmitriy Bogdanov	Russia	1:48.38
1	2	Fabiano Peçanha	Brazil	1:49.03 PB
1	4	Abdoulaye Wagne	Senegal	1:49.07 PB
1	5	Jozef Repcik	Slovakia	1:49.15
1	3	Michael Blackwood	Jamaica	1:52.69
2	3	Yusuf Saad Kamel	Bahrain	1:48.71
2	5	Abraham Chepkirwok	Uganda	1:48.80
2	6	Dmitrijs Milkevics	Latvia	1:49.10
2	4	Mattias Claesson	Sweden	1:49.12
2	2	Fadrique Iglesias	Bolivia	1:50.55
3	6	Mbulaeni Mulaudzi	South Africa	1:50.86
3	3	Manuel Olmedo	Spain	1:51.07
3	4	Jakub Holuša	Czech Republic	1:51.09
3	5	Damien Moss	United Kingdom	1:51.39
3	2	Eduard Villanueva	Venezuela	1:51.83
4	5	Nick Symmonds	United States	1:49.30
4	4	Lukas Rifeser	Italy	1:49.51
4	1	Moise Joseph	Haiti	1:49.70 SB
4	3	Aldwyn Sappleton	Jamaica	1:51.24
4	6	Richard Kiplagat	Kenya	DSQ
4	2	Lamine Bangoura	Guinea	DNF
5	4	Robert Lathouwers	Netherlands	1:49.32
5	5	Khadevis Robinson	United States	1:49.33
5	3	Amine Laalou	Morocco	1:49.41
5	6	Yuriy Koldin	Russia	1:49.60
5	2	Deon Bascom	Guyana	1:55.88
5	1	Florian Hilti	Liechtenstein	1:59.91 SB
6	1	Abubaker Kaki Khamis	Sudan	1:47.80
6	6	Eugenio Barrios	Spain	1:48.70
6	3	Richard Hill	United Kingdom	1:49.06
6	4	Ehsan Mohajer Shojaei	Iran	1:49.14
6	2	Dávid Takács	Hungary	1:49.79 SB
