Week	Date	Opponent	Result	Attendance
1	September 6, 1981	Houston Oilers	L 27-20	63,198
2	September 13, 1981	at New Orleans Saints	L 23-17	62,063
3	September 20, 1981	Green Bay Packers	W 35-23	61,286
4	September 28, 1981	at Chicago Bears	W 24-7	62,461
5	October 4, 1981	Cleveland Browns	W 27-16	63,924
6	October 11, 1981	at Atlanta Falcons	W 37-35	57,841
7	October 18, 1981	at Dallas Cowboys	L 29-17	64,649
8	October 25, 1981	at San Francisco 49ers	L 20-17	59,190
9	November 1, 1981	Detroit Lions	W 20-13	61,814
10	November 8, 1981	New Orleans Saints	L 21-13	61,068
11	November 15, 1981	at Cincinnati Bengals	L 24-10	56,836
12	November 22, 1981	San Francisco 49ers	L 33-31	63,456
13	November 29, 1981	at Pittsburgh Steelers	L 24-0	51,854
14	December 6, 1981	at New York Giants	L 10-7	59,659
15	December 14, 1981	Atlanta Falcons	W 21-16	57,054
16	December 20, 1981	Washington Redskins	L 30-7	52,224
