Sport	Years	Games	Gold	Silver	Bronze	Total
Swimming	2004–2012	Summer	11	1	1	13
Athletics	1900–1908	Summer	8	0	0	8
Gymnastics	1964–1968	Summer	7	1	0	8
Athletics	1984–1996	Summer	7	1	0	8
Gymnastics	1956–1964	Summer	6	5	3	14
Gymnastics	1972–1980	Summer	6	3	3	12
Athletics	1920–1928	Summer	6	3	0	9
Cross-country skiing	1992–1998	Winter	6	3	0	9
Gymnastics	1956–1964	Summer	6	2	2	10
Speed skating	1960–1964	Winter	6	0	0	6
Gymnastics	1952–1956	Summer	5	3	1	9
Gymnastics	1968–1976	Summer	5	3	1	9
Speed skating	1924–1928	Winter	5	1	1	7
Canoeing	1948–1960	Summer	5	1	1	7
Gymnastics	1976–1980	Summer	5	1	1	7
Swimming	1988–1996	Summer	5	1	1	7
Gymnastics	1992–1996	Summer	5	0	4	9
Speed skating	1988–1994	Winter	5	0	1	6
Speed skating	1980	Winter	5	0	0	5
Biathlon	1998–2010	Winter	4	3	1	8
Cross-country skiing	1992–1994	Winter	4	3	0	7
Gymnastics	1968–1972	Summer	4	2	2	8
Speed skating	1992–2006	Winter	4	2	2	8
Alpine skiing	1992–2006	Winter	4	2	2	8
Speed skating	1928–1936	Winter	4	2	1	7
Archery	1900–1920	Summer	4	2	0	6
Alpine skiing	2002–2006	Winter	4	2	0	6
Gymnastics	1952–1956	Summer	4	1	1	6
Swimming	1968–1972	Summer	4	1	1	6
Swimming	2000–2004	Summer	4	1	1	6
Cycling	2000–2004	Summer	4	1	1	6
Gymnastics	1904	Summer	4	1	0	5
Athletics	1948–1952	Summer	4	1	0	5
Speed skating	1956–1964	Winter	4	1	0	5
Diving	1976–1988	Summer	4	1	0	5
Swimming	1988–1992	Summer	4	1	0	5
Speed skating	1992–1994	Winter	4	1	0	5
Swimming	1992–2000	Summer	4	1	0	5
Swimming	2000–2004	Summer	4	1	0	5
Sailing	1996–2012	Summer	4	1	0	5
Cycling	1904	Summer	4	0	1	5
Swimming	1968–1976	Summer	4	0	1	5
Athletics	1900	Summer	4	0	0	4
Athletics	1912–1920	Summer	4	0	0	4
Diving	1952–1956	Summer	4	0	0	4
Sailing	1948–1960	Summer	4	0	0	4
Athletics	1956–1968	Summer	4	0	0	4
Athletics	1972–1976	Summer	4	0	0	4
Swimming	1988	Summer	4	0	0	4
Swimming	1988–1992	Summer	4	0	0	4
Diving	1992–2000	Summer	4	0	0	4
Athletics	1996–2004	Summer	4	0	0	4
Swimming	2004–2008	Summer	4	0	0	4
Ski jumping	2002–2010	Winter	4	0	0	4
Cycling	2004–2012	Summer	4	0	0	4
Athletics	2008–2012	Summer	4	0	0	4
Speed skating	1980–1988	Winter	3	4	1	8
Speed skating	1992–1998	Winter	3	4	1	8
Gymnastics	1952–1960	Summer	3	3	4	10
Cross-country skiing	1956–1964	Winter	3	3	1	7
Athletics	1924–1928	Summer	3	3	0	6
Gymnastics	1996–2000	Summer	3	2	5	10
Gymnastics	1904	Summer	3	2	1	6
Athletics	1904–1912	Summer	3	2	1	6
Canoeing	1992–2000	Summer	3	2	1	6
Gymnastics	1928–1936	Summer	3	2	0	5
Diving	1964–1976	Summer	3	2	0	5
Alpine skiing	1988–1994	Winter	3	2	0	5
Luge	1992–2002	Winter	3	2	0	5
Shooting	1988–2008	Summer	3	2	0	5
Swimming	2000–2008	Summer	3	2	0	5
Shooting	2004–2012	Summer	3	2	0	5
Nordic combined , Cross-country skiing	1924–1932	Winter	3	1	2	6
Athletics	1984–1996	Summer	3	1	2	6
Swimming	1904–1908	Summer	3	1	1	5
Gymnastics	1924–1936	Summer	3	1	1	5
Swimming	1972	Summer	3	1	1	5
Gymnastics	1984	Summer	3	1	1	5
Gymnastics	1988	Summer	3	1	1	5
Alpine skiing	1988–1994	Winter	3	1	1	5
Swimming	2000–2004	Summer	3	1	1	5
Short track speed skating	2006–2010	Winter	3	1	1	5
Shooting	1996–2012	Summer	3	1	1	5
Fencing	1996–2012	Summer	3	1	1	5
Athletics	1900–1904	Summer	3	1	0	4
Fencing	1900–1904	Summer	3	1	0	4
Athletics	1900–1908	Summer	3	1	0	4
Athletics	1904–1908	Summer	3	1	0	4
Figure skating	1920–1932	Winter	3	1	0	4
Swimming	1956–1960	Summer	3	1	0	4
Swimming	1956–1964	Summer	3	1	0	4
Diving	1960–1964	Summer	3	1	0	4
Athletics	1960–1964	Summer	3	1	0	4
Speed skating	1968–1972	Winter	3	1	0	4
Swimming	1972–1976	Summer	3	1	0	4
Athletics	1968–1980	Summer	3	1	0	4
Gymnastics	1976–1980	Summer	3	1	0	4
Gymnastics	1984	Summer	3	1	0	4
Ski jumping	1984–1988	Winter	3	1	0	4
Swimming	1984–1988	Summer	3	1	0	4
Speed skating	1984–1988	Winter	3	1	0	4
Gymnastics	1988	Summer	3	1	0	4
Alpine skiing	1992–1998	Winter	3	1	0	4
Athletics	1988–2000	Summer	3	1	0	4
Wrestling	1988–2000	Summer	3	1	0	4
Equestrian	1996–2008	Summer	3	1	0	4
Athletics	2004–2008	Summer	3	1	0	4
Wrestling	2000–2012	Summer	3	1	0	4
Cross-country skiing	1984–1994	Winter	3	0	2	5
Alpine skiing	1992–1998	Winter	3	0	2	5
Athletics	2004–2012	Summer	3	0	2	5
Athletics	1904–1908	Summer	3	0	1	4
Athletics	1920–1932	Summer	3	0	1	4
Swimming	1996	Summer	3	0	1	4
Weightlifting	1992–2004	Summer	3	0	1	4
Gymnastics	2008–2012	Summer	3	0	1	4
Cycling	1896	Summer	3	0	0	3
