Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Kanjiža	Кањижа (Hungarian: Magyarkanizsa)	town	9871	Hungarians	Catholic Christianity
Adorjan	Адорјан (Hungarian: Adorján)	village	1037	Hungarians	Catholic Christianity
Doline	Долине (Hungarian: Völgyes)	village	390	Hungarians	Catholic Christianity
Horgoš	Хоргош (Hungarian: Horgos)	village	5709	Hungarians	Catholic Christianity
Male Pijace	Мале Пијаце (Hungarian: Kispiac)	village	1811	Hungarians	Catholic Christianity
Mali Pesak	Мали Песак (Hungarian: Kishomok)	village	94	Hungarians	Catholic Christianity
Martonoš	Мартонош (Hungarian: Martonos)	village	1988	Hungarians	Catholic Christianity
Novo Selo	Ново Село (Hungarian: Újfalu)	village	157	Hungarians	Catholic Christianity
Orom	Ором (Hungarian: Orom)	village	1423	Hungarians	Catholic Christianity
Totovo Selo	Тотово Село (Hungarian: Tóthfalu)	village	618	Hungarians	Catholic Christianity
Trešnjevac	Трешњевац (Hungarian: Oromhegyes)	village	1724	Hungarians	Catholic Christianity
Velebit	Велебит	village	277	Serbs	Orthodox Christianity
