Club	City	Stadium	Capacity	2007–08 season
A.C. Arezzo	Arezzo	Stadio Città di Arezzo	13,128	7th in Serie C1/B
Benevento Calcio	Benevento	Stadio Santa Colomba	18,927	Serie C2/C Champions
S.S. Cavese 1919	Cava de' Tirreni	Stadio Simonetta Lamberti	16,000	10th in Serie C1/A
F.C. Crotone	Crotone	Stadio Ezio Scida	9,631	4th in Serie C1/B
U.S. Foggia	Foggia	Stadio Pino Zaccheria	25,000	5th in Serie C1/A
Foligno Calcio	Foligno	Stadio Enzo Blasone	5,650	4th in Serie C1/A
Gallipoli Calcio	Gallipoli	Stadio Antonio Bianco	5,000	9th in Serie C1/B
S.S. Juve Stabia	Castellammare di Stabia	Stadio Romeo Menti	10,400	15th in Serie C1/B
Real Marcianise Calcio	Marcianise	Stadio Progreditur	3,000	Serie C2/C Play-off Winners
Paganese Calcio 1926	Pagani	Stadio Marcello Torre	3,700	15th in Serie C1/A
Perugia Calcio	Perugia	Stadio Renato Curi	28,000	5th in Serie C1/B
Pescara Calcio	Pescara	Stadio Adriatico	22,260	6th in Serie C1/B
A.C. Pistoiese	Pistoia	Stadio Marcello Melani	13,195	14th in Serie C1/B
Potenza S.C.	Potenza	Stadio Alfredo Viviani	6,000	11th in Serie C1/B
Sorrento Calcio	Sorrento	Stadio Italia	3,600	10th in Serie C1/B
Taranto Sport	Taranto	Stadio Erasmo Iacovone	28,000	3rd in Serie C1/B
Ternana Calcio	Terni	Stadio Libero Liberati	20,095	13th in Serie C1/A
S.S. Virtus Lanciano 1924	Lanciano	Stadio Guido Biondi	7,500	16th in Serie C1/B
