HP Model	Command Set	# FDD	FDD Type	Sides	FDD Capacity (each)	# HDD	HDD Capacity
82901M	Amigo	2	5.25"	DS	270kb	0	n/a
82902M	Amigo	1	5.25"	DS	270kb	0	n/a
9121D	Amigo	2	3.5"	SS	270kb	0	n/a
9121S	Amigo	1	3.5"	SS	270kb	0	n/a
9122D	SS/80	2	3.5"	DS	710kb	0	n/a
9122S	SS/80	1	3.5"	DS	710kb	0	n/a
9123D	SS/80	2	3.5"	DS	710kb	0	n/a
9125S	Amigo	1	5.25"	DS	360kb	0	n/a
9127S	Amigo	1	5.25"	DS	360kb	0	n/a
9133A	Amigo	1	3.5"	SS	270kb	1	5Mb
9133B	Amigo	1	3.5"	SS	270kb	1	10Mb
9133D	SS/80	1	3.5"	DS	710kb	1	15Mb
9133H	SS/80	1	3.5"	DS	710kb	1	20Mb
9133L	SS/80	1	3.5"	DS	710kb	1	40Mb
9133V	Amigo	1	3.5"	SS	270kb	1	5Mb
9133XV	Amigo	1	3.5"	SS	270kb	1	15Mb
9134A	Amigo	0	n/a	n/a	n/a	1	5Mb
9134B	Amigo	0	n/a	n/a	n/a	1	10Mb
9134H	SS/80	0	n/a	n/a	n/a	1	20Mb
9134L	SS/80	0	n/a	n/a	n/a	1	40Mb
9134V	Amigo	0	n/a	n/a	n/a	1	5Mb
9134XV	Amigo	0	n/a	n/a	n/a	1	15Mb
9153A	SS/80	1	3.5"	DS	710kb	1	10Mb
9153B	SS/80	1	3.5"	DS	710kb	1	20Mb
9153C	SS/80	1	3.5"	DS	710kb	1	10/20/40Mb
9154A	SS/80	0	n/a	n/a	n/a	1	10Mb
9154B	SS/80	0	n/a	n/a	n/a	1	20Mb
