Round	Date	Grand Prix	Circuit	MotoGP winner	Moto2 winner	Moto3 winner	Report
1	8 April	Commercialbank Grand Prix of Qatar	Losail	Jorge Lorenzo	Marc Márquez	Maverick Viñales	Report
2	29 April	Gran Premio bwin de España	Jerez	Casey Stoner	Pol Espargaró	Romano Fenati	Report
3	6 May	Grande Premio de Portugal Circuito Estoril	Estoril	Casey Stoner	Marc Márquez	Sandro Cortese	Report
4	20 May	Monster Energy Grand Prix de France	Le Mans	Jorge Lorenzo	Thomas Lüthi	Louis Rossi	Report
5	3 June	Gran Premi Aperol de Catalunya	Catalunya	Jorge Lorenzo	Andrea Iannone	Maverick Viñales	Report
6	17 June	Hertz British Grand Prix	Silverstone	Jorge Lorenzo	Pol Espargaró	Maverick Viñales	Report
7	30 June	Iveco TT Assen	Assen	Casey Stoner	Marc Márquez	Maverick Viñales	Report
8	8 July	eni Motorrad Grand Prix Deutschland	Sachsenring	Dani Pedrosa	Marc Márquez	Sandro Cortese	Report
9	15 July	Gran Premio d'Italia TIM	Mugello	Jorge Lorenzo	Andrea Iannone	Maverick Viñales	Report
10	29 July	Red Bull U.S. Grand Prix	Laguna Seca	Casey Stoner	No Moto2 and Moto3 races	No Moto2 and Moto3 races	Report
11	19 August	Red Bull Indianapolis Grand Prix	Indianapolis	Dani Pedrosa	Marc Márquez	Luis Salom	Report
12	26 August	bwin Grand Prix České Republiky	Brno	Dani Pedrosa	Marc Márquez	Jonas Folger	Report
13	16 September	GP Aperol di San Marino e della Riviera di Rimini	Misano	Jorge Lorenzo	Marc Márquez	Sandro Cortese	Report
14	30 September	Gran Premio Iveco de Aragón	Motorland Aragón	Dani Pedrosa	Pol Espargaró	Luis Salom	Report
15	14 October	AirAsia Grand Prix of Japan	Motegi	Dani Pedrosa	Marc Márquez	Danny Kent	Report
16	21 October	Malaysian Motorcycle Grand Prix	Sepang	Dani Pedrosa	Alex de Angelis	Sandro Cortese	Report
17	28 October	AirAsia Australian Grand Prix	Phillip Island	Casey Stoner	Pol Espargaró	Sandro Cortese	Report
