Heat	Lane	Name	Nationality	Time
6	4	Susie O'Neill	Australia	1:59.14
4	2	Helene Muller	South Africa	1:59.89
5	4	Claudia Poll	Costa Rica	2:00.11
6	5	Lindsay Benko	United States	2:00.13
4	4	Camelia Potec	Romania	2:00.18
6	6	Kerstin Kielgass	Germany	2:00.25
5	5	Franziska van Almsick	Germany	2:00.37
4	5	Martina Moravcová	Slovakia	2:00.46
5	6	Nadezhda Chemezova	Russia	2:00.47
4	3	Natalya Baranovskaya	Belarus	2:00.58
6	1	Carla Geurts	Netherlands	2:00.60
6	3	Wang Luna	China	2:00.89
5	3	Giaan Rooney	Australia	2:00.99
4	8	Mandy Leach	Zimbabwe	2:01.05
5	7	Rada Owen	United States	2:01.10
4	1	Sara Parise	Italy	2:01.31
5	2	Yang Yu	China	2:01.34
6	2	Jessica Deglau	Canada	2:01.42
4	7	Karen Pickering	Great Britain	2:01.42
4	6	Solenne Figuès	France	2:01.46
3	1	Rania Elwani	Egypt	2:01.93
5	1	Nina van Koeckhoven	Belgium	2:02.15
6	8	Laura Nicholls	Canada	2:02.69
5	8	Laura Roca	Spain	2:03.37
3	2	Zoi Dimoschaki	Greece	2:04.06
3	5	Olena Lapunova	Ukraine	2:04.39
2	5	Lára Hrund Bjargardóttir	Iceland	2:05.22
3	4	Chantal Gibney	Ireland	2:05.24
2	6	Vesna Stojanovska	Macedonia	2:05.58
3	8	Pilin Tachakittiranan	Thailand	2:05.88
3	3	Elina Partõka	Estonia	2:05.90
3	6	Tsai Shu-Min	Chinese Taipei	2:06.12
3	7	Roh Joo-Hee	South Korea	2:07.21
2	7	Ivanka Moralieva	Bulgaria	2:07.61
2	3	Anna Korshikova	Kyrgyzstan	2:08.08
2	2	Petra Banović	Croatia	2:08.30
1	4	Nisha Millet	India	2:08.89
1	5	Pamela Vásquez	Honduras	2:15.83
1	3	Marella Mamoun	Syria	2:18.78
2	4	Florencia Szigeti	Argentina	DSQ
6	7	Karen Legg	Great Britain	DNS
