Date	Location	Nature of incident	Circumstances	Casualties
2009-02-11	Mazar-i-Sharif	unknown	unknown	1 killed
2009-03-14	Fayzabad	Non-hostile	Traffic accident	1 dead, 2 injured
2009-04-29	Kunduz area	Hostile	Suicide bomber attack	5 WIA
2009-04-29	Kunduz area	Hostile	Direct fire	1 KIA, 10 WIA
2009-05-06 to 2009-05-07	Fayzabad Area	Hostile	Combat	1 WIA
2009-06-07	Kunduz	Hostile	Direct fire	2 WIA
2009-06-23	Kunduz	Hostile	Combat	3 KIA,3 WIA
2009-08-03	Sheberghan	Non-hostile	Traffic accident	6 WIA
2009-08-07	Kunduz	Hostile	Direct fire	1 WIA
2009-08-15	Kunduz	Hostile	Direct fire	1 WIA
2009-09-03	Kunduz	Hostile	Combat	4 WIA
2009-09-05	Kunduz	Hostile	SVBIED attack	5 WIA
2009-09-16	Kunduz	Hostile	Combat	8 WIA
2009-11-11	Kunduz	Hostile	Direct fire	1 WIA
2009-12-05	Mazar-i-Sharif	Non-hostile	Accidental explosion	3 injured
2009-12-14	Eshkashem	Non-hostile	Accident	5 injured
2009-12-16	Kunduz	Hostile	Combat	2 WIA
