Round	Pick	Player	Nationality	College/junior/club team
1	3.	Ralph Klassen	Canada	Saskatoon Blades ( WCHL )
2	21.	Dennis Maruk	Canada	London Knights ( OMJHL )
3	39.	John Tweedle	Canada	Lake Superior State Lakers ( CCHA )
4	57.	Greg Smith	Canada	Colorado College Tigers ( WCHA )
5	75.	Doug Young	Canada	Michigan Tech Huskies (WCHA)
6	93.	Larry Hendrick	Canada	Calgary Centennials (WCHL)
7	111.	Rick Shinske	Canada	New Westminster Bruins (WCHL)
8	129.	Doug Schoenfeld	Canada	Cambridge Hornets ( OHA Sr. A )
9	146.	Jim Weaver	Canada	Kingston Canadians (OMJHL)
10	162.	Greg Agar	Canada	Merritt Centennials ( BCJHL )
