1999/ 00	2000/ 01	2001/ 02	2002/ 03	2003/ 04	2004/ 05	2005/ 06	2006/ 07	2007/ 08	2008/ 09	2009/ 10	2010/ 11	2011/ 12	2012/ 13
147 He was not on the Main Tour.	151	169	72	64	48	21	5	3	3	3	7	7	6
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Non-Ranking	Non-Ranking	Non-Ranking	Non-Ranking	1R
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	SF	QF
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	1R	1R	SF	2R	QF	SF
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	SF
A	A	LQ	QR	LQ	LQ	3R	2R	SF	W	2R	SF	QF	F
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	2R	SF	QF
A	A	LQ	LQ	LQ	LQ	F	QF	SF	QF	1R	1R	SF	1R
A	A	LQ	LQ	3R	1R	3R	RR	SF	1R	1R	LQ	QF	2R
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	W	DNQ	DNQ
A	A	LQ	Not Held	Not Held	LQ	1R	QF	F	QF	1R	SF	1R	SF
LQ	LQ	1R	1R	LQ	W	QF	SF	2R	F	QF	2R	1R	QF
Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments
LQ	1R	LQ	LQ	LQ	A	QF	QF	QF	1R	QF	1R	F	SF
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	SF	RR	RR	F	2R	RR
Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	1R	1R	1R
Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments
A	A	LQ	NR	Not Held	Not Held	Not Held	NR	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
A	A	LQ	1R	2R	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	MR
A	A	LQ	LQ	2R	SF	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Non-Ranking Event	Non-Ranking Event	Non-Ranking Event	LQ	LQ	LQ	NH	NR	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Not Held	Not Held	LQ	LQ	LQ	1R	2R	W	NR	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	NR	QF	SF	2R	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	1R	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments
Not Held	Not Held	Ranking Event	Ranking Event	Ranking Event	Ranking Event	Ranking Event	Ranking Event	W	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	RR	SF	W	SF	Ranking
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	W	Not Held
A	A	A	A	A	A	RR	A	A	A	W	F	RR	RR
