Date	Visitor	Score	Home	Decision	Attendance	Record
January 1	Ottawa	3 - 6	Washington	Kolzig	14,547	16-19-5
January 3	Washington	0 - 2	Boston	Kolzig	12,240	16-20-5
January 5	Washington	5 - 4	Montreal	Kolzig	21,273	17-20-5
January 9	Colorado	1 - 2	Washington	Kolzig	16,168	18-20-5
January 13	Philadelphia	6 - 4	Washington	Kolzig	17,713	18-21-5
January 15	Ottawa	2 - 4	Washington	Johnson	15,261	19-21-5
January 17	Edmonton	4 - 5	Washington	Kolzig	13,399	20-21-5
January 19	Florida	3 - 5	Washington	Johnson	16,973	21-21-5
January 21	Washington	6 - 5	Pittsburgh	Kolzig	17,050	22-21-5
January 23	Washington	2 - 3	Toronto	Kolzig	19,479	22-22-5
January 24	Toronto	1 - 2	Washington	Johnson	14,094	23-22-5
January 29	Washington	0 - 4	Montreal	Johnson	21,273	23-23-5
January 31	Montreal	4 - 5	Washington	Kolzig	14,930	24-23-5
