No.	P	Name	Country	Age	Loan Club	Started	Ended	Start Source	End Source
24	DF	Clapham	ENG	31	Wolverhampton Wanderers	20 August	20 November	BBC Sport	Leeds United
16	FW	Andrews	ENG	29	Coventry City	1 October	27 October	BBC Sport	Leeds United
32	FW	de Vries	NED SUR	32	Leicester City	1 October	15 January	Leicester City	Leeds United
33	MF	Kishishev	BUL	33	Leicester City	23 October	23 January	BBC Sport	BBC Sport
31	FW	Ameobi	ENG	19	Scunthorpe United	15 November	4 May	Sky Sports	Sky Sports
21	MF	Derry	ENG	29	Crystal Palace	19 November	19 January	Sky Sports	Sky Sports
37	MF	Kilkenny	AUS ENG	22	Birmingham City	4 January	7 January	BBC Sport	Leeds United
35	DF	Kenton	ENG	29	Leicester City	10 January	31 January	Leicester City	Leeds United
8	MF	Thompson	ENG	34	Hartlepool United	22 January	22 February	Leeds United	Leeds United
26	DF	Gardner	ENG LUX	19	Farsley Celtic	22 January	24 February	Leeds United	Leeds United
32	DF	Sheehan	IRE	21	Leicester City	31 January	25 May	Yahoo Sport	TEAMtalk
21	DF	O'Halloran	IRE	20	Aston Villa	28 February	4 March	BBC Sport	Leeds United
26	DF	Parker	ENG	20	Darlington	26 February	17 May	Sky Sports	BBC Sport
11	MF	Westlake	ENG	24	Brighton & Hove Albion	4 March	4 May	Sky Sports	Sky Sports
23	MF	Weston	ENG	21	Scunthorpe United	4 March	4 May	Sky Sports	Sky Sports
10	FW	Constantine	ENG	30	Oldham Athletic	5 March	7 April	Leeds United	Leeds United
38	FW	Freedman	SCO	33	Crystal Palace	7 March	25 May	TEAMtalk	Yorkshire Evening Post
