Rider	Manufacturer	Laps	Time	Grid
Stefan Bradl	Aprilia	20	39:57.228	2
Mike Di Meglio	Derbi	20	+0.151	1
Gabor Talmacsi	Aprilia	20	+0.281	5
Joan Olivé	Derbi	20	+5.945	12
Nicolas Terol	Aprilia	20	+6.072	3
Sandro Cortese	Aprilia	20	+6.135	4
Simone Corsi	Aprilia	20	+6.455	15
Scott Redding	Aprilia	20	+25.393	6
Sergio Gadea	Aprilia	20	+25.537	10
Danny Webb	Aprilia	20	+26.192	18
Tomoyoshi Koyama	KTM	20	+27.307	11
Raffaele De Rosa	KTM	20	+39.536	19
Takaaki Nakagami	Aprilia	20	+43.745	20
Efren Vazquez	Aprilia	20	+51.629	16
Alexis Masbou	Loncin	20	+51.899	22
Jonas Folger	Aprilia	20	+51.931	31
Lorenzo Zanetti	KTM	20	+51.962	23
Pablo Nieto	KTM	20	+52.589	28
Dominique Aegerter	Derbi	20	+56.837	7
Steve Bonsey	Aprilia	20	+56.977	17
Marco Ravaioli	Aprilia	20	+58.626	30
Yuuichi Yanagisawa	Honda	20	+59.926	32
Robin Lasser	Aprilia	20	+1:09.782	25
Hiroki Ono	Honda	20	+1:14.883	35
Adrián Martín	Aprilia	20	+1:26.120	29
Cyril Carrillo	Honda	20	+1:29.130	37
Bradley Smith	Aprilia	16	Retirement	14
Kazuma Watanabe	Honda	16	Retirement	34
Michael Ranseder	Aprilia	14	Retirement	24
Iori Namihira	Honda	11	Retirement	26
Hiroomi Iwata	Honda	10	Retirement	27
Bastien Chesaux	Aprilia	8	Accident	39
Robert Muresan	Aprilia	6	Accident	33
Esteve Rabat	KTM	0	Accident	21
Jules Cluzel	Loncin	0	Accident	36
Andrea Iannone	Aprilia	0	Accident	9
Pol Espargaro	Derbi	0	Accident	8
Hugo Van Den Berg	Aprilia	0	Accident	38
Marc Marquez	KTM	0	Accident	13
