Driver	Points	Races	Wins	Second	Third
Gunther Gooverts	182	27	2	—	3
Gunther Gooverts	135	18	1	2	1
Gunther Gooverts	27	8	—	—	1
Gunther Gooverts	155	16	—	3	2
Gert Devoldere	3	2	—	—	—
Daniël Willemsen	40	2	2	—	—
Martin Gölz	90	20	—	—	—
Gerton Kops	17	2	—	—	—
Peter Steegmans	16	2	—	—	—
Daniël Willemsen	320	22	5	4	7
Daniël Willemsen	377	22	8	5	3
Are Kaurit	268	16	—	3	2
Daniël Willemsen	88	4	—	4	—
Kristers Serģis	501	26	12	7	1
Kristers Serģis	246	12	6	1	2
Frank Hofman	22	2	—	—	—
Daniël Willemsen	478	22	15	4	—
Daniël Willemsen	341	16	13	—	—
Nicky Pulinx	22	4	—	—	—
Jarno van den Boomen	8	2	—	—	—
Gerrit van Werven	6	2	—	—	—
Daniël Willemsen	341	17	11	—	—
Peter Steegmans	212	20	—	1	1
Daniël Willemsen	437	21	14	3	—
Ben Adriaenssen	385	22	—	—	6
Overall 1993 - 2012	4,717	327	89	37	29
