City	Country	Airport	IATA	ICAO
Aberdeen	United Kingdom	Aberdeen Airport	ABZ	EGPD
Bergen	Norway	Bergen Airport, Flesland	BGO	ENBR
Copenhagen	Denmark	Copenhagen Airport	CPH	EKCH
Fagernes	Norway	Fagernes Airport, Leirin	VBD	ENFG
Haugesund	Norway	Haugesund Airport, Karmøy	HAU	ENHD
Molde	Norway	Molde Airport, Årø	MOL	ENML
Oslo	Norway	Oslo Airport, Gardermoen	OSL	ENGM
Røros	Norway	Røros Airport	RRS	ENRO
Sandefjord	Norway	Sandefjord Airport, Torp	TRF	ENTO
Stord	Norway	Stord Airport, Sørstokken	SPR	ENSO
Trondheim	Norway	Trondheim Airport, Værnes	TRD	ENVA
Gdańsk	Poland	Gdańsk Lech Wałęsa Airport	GDN	EPGD
