Round	Pick #	Player	Position	College
1	18	Mario Clark	Defensive back	Oregon
2	45	Ken Jones	Guard	Arkansas State
2	52	Joe Devlin	Tackle	Iowa
3	78	Ben Williams	Defensive end	Mississippi
4	109	Dan Jilek	Linebacker	Michigan
5	142	Fred Coleman	Tight end	N.E. Louisiana
6	164	Leslie Benson	Defensive end	Baylor
6	171	Scott Piper	Wide receiver	Arizona
6	175	Darnell Powell	Running back	Tennessee-Chattanooga
7	195	Jackie Williams	Defensive back	Texas A & M
8	215	Scott Gardner	Quarterback	Virginia
8	226	Bobby Joe Easter	Running back	Middle Tennessee State
8	227	Art Meadowcroft	Guard	Minnesota
9	241	Jeff Turner	Linebacker	Kansas
9	255	Bob Kotzur	Defensive tackle	Southwest Texas State
10	280	Keith Moody	Defensive back	Syracuse
11	309	Forry Smith	Wide receiver	Iowa State
12	336	Joe Lowery	Running back	Jackson State
13	365	Will Wilcox	Guard	Texas
14	392	Tony Williams	Wide receiver	Middle Tennessee State
15	421	Arnold Robinson	Linebacker	Bethune-Cookman
16	448	Gary Gorrell	[Linebacker	Boise State
17	477	Bob Berg	Kicker	New Mexico
