Ensemble	Gold Medals	Silver Medals	Bronze Medals	Total Medals
Arcadia High School	1	0	0	1
Avon High School	1	1	1	3
Ayala High School	1	1	1	3
Center Grove High School	2	1	1	4
Centerville High School	1	1	0	2
Choctawhatchee High School	0	0	1	1
Chino Hills High School	2	1	1	4
Claremont High School	0	0	1	1
Clovis West High School	1	0	0	1
Dartmouth High School	4	5	5	14
Father Ryan High School	0	0	2	2
Hatboro Horsham High School	1	0	0	1
John Overton High School	1	1	1	3
King Philip High School	1	3	0	4
Lincoln Way High School	1	2	0	3
Maumee High School	0	0	3	3
Mission Viejo High School	2	2	2	6
Northglenn High School	1	1	1	3
Ponderosa High School	0	2	1	3
