Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Albacete Bp.	38	49+11	18	13	7	56	31	+25
2	Deportivo de La Coruña	38	48+10	20	8	10	60	32	+28
3	Real Murcia	38	48+10	18	12	8	56	36	+20
4	CD Málaga	38	46+8	16	14	8	52	35	+17
5	Orihuela Deportiva 1	38	43+5	12	19	7	46	39	+7
6	UE Lleida	38	43+5	16	11	11	41	36	+5
7	UE Figueres	38	39+1	14	11	13	44	42	+2
8	Sestao	38	38	9	20	9	29	27	+2
9	Real Avilés	38	38	10	18	10	35	37	-2
10	SD Eibar	38	37-1	9	19	10	35	34	+1
11	Rayo Vallecano	38	36-2	8	20	10	44	50	-6
12	CE Sabadell FC	38	36-2	11	14	13	32	45	-13
13	Bilbao Athletic	38	36-2	11	14	13	35	43	-8
14	Celta de Vigo	38	36-2	8	20	10	31	38	-7
15	UD Las Palmas	38	36-2	10	16	12	38	43	-5
16	Palamós CF	38	35-3	9	17	12	33	46	-13
17	Elche CF	38	34-4	12	10	16	39	45	-9
18	UD Salamanca	38	31-7	9	13	16	41	40	+1
19	Levante UD	38	27-11	6	15	17	27	51	-24
20	Xerez CD	38	24-14	6	12	20	37	61	-24
