Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Anaheim	1 – 2	Detroit	Osgood	18,862	16–4–4
December 4	Vancouver	5 – 6	Detroit	Osgood	19,116	17–4–4
December 6	Chicago	4 – 5	Detroit	Conklin	20,066	18–4–4
December 10	Calgary	4 – 3	Detroit	Conklin	19,335	19–4–4
December 12	Detroit	1 – 3	Dallas	Conklin	18,532	19–5–4
December 13	Detroit	5 – 4	Phoenix	Osgood	16,339	20–5–4
December 15	Colorado	3 – 2	Detroit	Osgood	19,154	20–6–4
December 18	San Jose	0 – 6	Detroit	Conklin	19,507	21–6–4
December 20	Los Angeles	4 – 6	Detroit	Conklin	19,784	22–6–4
December 23	St. Louis	1 – 4	Detroit	Conklin	20,066	23–6–4
December 26	Detroit	2 – 3	Nashville	Conklin	17,113	23–7–4
December 27	Detroit	3 – 4	Colorado	Conklin	18,007	23–7–5
December 30	Chicago	0 – 4	Detroit	Conklin	20,066	24–7–5
