Episode	Song	Average grade	Detailed grades	Classification (Judges)	Classification (Viewers)
1	No one Alicia Keys	6.3	6, 7, 6, 6	8. place	6. place
2	Milord Édith Piaf	7.5	7, 9, 7, 7	8. place	8. place
3	Don't Cry Guns N'Roses	7.5	8, 8, 7, 7	4. place	5. place
4	Kung fu fighting Carl Douglas	8.0	8, 7, 9, 8	6. place	SKATE OFF
5	California Love 2 Pac	8.5	9, 8, 8, 9	3. place	3. place
6	Seksapil Eugeniusz Bodo	8.8	9, 9, 8, 9	2. place	2. place
7	Love at first sight Kylie Minogue	6.8	7, 7, 6, 7	6. place	4. place
7	Şımarık Tarkan	8.5	9, 8, 8, 9	2. place	4. place
8	The Blue Danube Johann Strauss II	7.0	7, 7, 7, 7	4. place	SKATE OFF
8	Besame Mucho Dalida	9.0	9, 9, 9, 9	2. place	SKATE OFF
9	The passenger Iggy Pop	8.0	7, 9, 8, 8	3. place	SKATE OFF
9	Let the sunshine In Hair	8.0	8, 8, 8, 8	4. place	SKATE OFF
10	Carmen Georges Bizet	9.0	9, 10, 9, 8	2. place	SKATE OFF
