LGA Name	Area (km 2 )	Census 2006 population	Administrative capital	Postal Code
Port Harcourt	109	541115	Port Harcourt	500
Obio-Akpor	260	464789	Rumuodumaya	500
Okrika	222	222026	Okrika	500
Ogu/Bolo	89	74683	Ogu	500
Eleme	138	190884	Eleme	501
Tai	159	117797	Sakpenwa	501
Gokana	126	228828	Kpor	501
Khana	560	294217	Bori	502
Oyigbo	248	122687	Afam	502
Opobo/Nkoro	130	151511	Opobo Town	503
Andoni	233	211009	Ngo	503
Bonny	642	215358	Bonny	503
Degema	1011	249773	Degema	504
Asari-Toru	113	220100	Buguma	504
Akuku-Toru	1443	156006	Abonnema	504
Abua/Odual	704	282988	Abua	510
Ahoada West	403	249425	Akinima	510
Ahoada East	341	166747	Ahoada	510
Ogba/Egbema/Ndoni	969	284010	Omuku	510
Emohua	831	201901	Emohua	511
Ikwerre	655	189726	Isiokpo	511
Etche	805	249454	Okehi	512
