Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2008	Formula Renault 2.0 UK Winter	CR Scuderia	4	0	0	0	1	N/A	NC†
2008	Formula Renault 2.0 Portugal Winter	Motopark Academy	2	0	0	0	0	4	17th
2008	Eurocup Formula Renault 2.0	Motopark Academy	6	0	0	0	0	18	13th
2008	Formula Renault 2.0 NEC	Motopark Academy	16	1	1	1	10	280	2nd
2009	Eurocup Formula Renault 2.0	Motopark Academy	14	3	2	3	9	128	3rd
2009	Formula Renault 2.0 NEC	Motopark Academy	14	9	4	7	11	361	1st
2010	Formula One	Force India	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2010	Formula 3 Euro Series	Motopark Academy	18	3	0	1	4	40	7th
2010	Masters of Formula 3	Motopark Academy	1	0	0	0	0	N/A	18th
2010	GP3 Series	Carlin	4	0	0	0	0	3	26th
2010	Macau Grand Prix	Carlin	1	0	0	0	0	N/A	6th
2011	GP2 Final	Ocean Racing Technology	2	0	0	0	0	2	9th
2011	GP3 Series	Status Grand Prix	16	1	0	0	1	16	13th
2011	British Formula Three	Hitech Racing	6	0	0	1	3	51	13th
2011	Macau Grand Prix	Hitech Racing	1	0	0	0	0	N/A	NC
2012	Formula One	Red Bull Racing	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2012	Formula Renault 3.5 Series	Arden Caterham	12	4	0	2	6	166	4th
2012	GP3 Series	Carlin	16	3	1	6	6	132	3rd
2012	MotorSport Vision Formula Three Cup	Carlin	2	2	1	2	2	N/A	NC†
2012	Macau Grand Prix	Carlin	1	1	1	1	1	N/A	1st
2013	Formula Renault 3.5 Series	Arden Caterham	17	3	1	2	6	172	3rd
