Region	Host	Venue	City	State
East	Ohio State University	St. John Arena	Columbus	Ohio
East	Old Dominion University	Old Dominion University Fieldhouse	Norfolk	Virginia
East	North Carolina State University	Reynolds Coliseum	Raleigh	North Carolina
East	Pennsylvania State University	Recreation Building (Rec Hall)	University Park	Pennsylvania
Mideast	University of Tennessee	Stokely Athletic Center	Knoxville	Tennessee
Mideast	University of Texas	Frank Erwin Center	Austin	Texas
Mideast	Western Kentucky University	E.A. Diddle Arena	Bowling Green	Kentucky
Mideast	University of Mississippi	Tad Smith Coliseum	University	Mississippi
Midwest	Auburn University	Memorial Coliseum (Beard–Eaves–Memorial Coliseum)	Auburn	Alabama
Midwest	Louisiana Tech University	Thomas Assembly Center	Ruston	Louisiana
Midwest	Northeast Louisiana University	Ewing Coliseum	Monroe	Louisiana
Midwest	University of Nevada at Las Vegas	Thomas and Mack Center	Las Vegas	Nevada
West	University of Georgia	Georgia Coliseum (Stegeman Coliseum)	Athens	Georgia
West	Long Beach State	University Gym (Gold Mine)	Long Beach	California
West	University of Southern California	Los Angeles Memorial Sports Arena	Los Angeles	California
West	University of Washington	Hec Edmundson Pavilion	Seattle	Washington
