Date	Opponent	Score	Loss	Record
September 1	@ Giants	4–1	Rueter (7–11)	56–76
September 2	@ Giants	6–5	Schmidt (15–6)	57–76
September 3	@ Padres	7–6	Dohmann (0–2)	57–77
September 4	@ Padres	8–2	Tankersley (0–5)	58–77
September 5	@ Padres	5–2	Lawrence (13–12)	59–77
September 7	Giants	8–7	Christiansen (4–3)	60–77
September 8	Giants	5–3	Reed (3–5)	60–78
September 9	Padres	9–7	Linebrink (7–2)	61–78
September 10	Padres	10–4	Harikkala (6–4)	61–79
September 11	Padres	13–2	Eaton (9–13)	62–79
September 12	Padres	15–2	Reed (3–6)	62–80
September 13	@ Diamondbacks	9–2	Fossum (4–13)	63–80
September 14	@ Diamondbacks	4–3 (13)	Reed (3–7)	63–81
September 15	@ Diamondbacks	3–2	Estes (14–7)	63–82
September 16	@ Diamondbacks	8–5	Dohmann (0–3)	63–83
September 17	Dodgers	8–6 (10)	Chacón (1–8)	63–84
September 18	Dodgers	8–1	Pérez (6–6)	64–84
September 19	Dodgers	7–6	Chacón (1–9)	64–85
September 22	Diamondbacks	4–2	Johnson (14–14)	65–85
September 23	Diamondbacks	7–1	Webb (6–16)	66–85
September 23	Diamondbacks	2–1 (10)	Choate (2–4)	67–85
September 24	Cardinals	5–4	Jennings (11–12)	67–86
September 25	Cardinals	10–6	Harikkala (6–5)	67–87
September 26	Cardinals	9–3	Gissell (0–1)	67–88
September 27	@ Dodgers	8–7	Reed (3–8)	67–89
September 28	@ Dodgers	5–4	Harikkala (6–6)	67–90
September 29	@ Dodgers	4–1	Brazobán (4–2)	68–90
September 30	@ Dodgers	4–2 (11)	Fuentes (2–4)	68–91
