Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	72	1:45:01.498	1	35
Bruno Junqueira	Newman/Haas Racing	72	+3.852 secs	4	28
Mario Domínguez	Herdez Competition	72	+5.209 secs	2	26
Patrick Carpentier	Forsythe Racing	72	+6.119 secs	5	24
Alex Tagliani	Rocketsports Racing	72	+9.900 secs	15	23
Justin Wilson	Mi-Jack Conquest Racing	72	+11.368 secs	3	20
Paul Tracy	Forsythe Racing	72	+17.047 secs	6	17
Ryan Hunter-Reay	Herdez Competition	72	+22.251 secs	8	15
Roberto González	PKV Racing	72	+26.764 secs	12	13
Nelson Philippe	Rocketsports Racing	72	+27.925 secs	17	11
Michel Jourdain, Jr.	RuSPORT	72	+29.197 secs	13	10
Jimmy Vasser	PKV Racing	71	Contact	7	9
Rodolfo Lavín	Forsythe Racing	70	+ 2 Laps	14	8
Oriol Servià	Dale Coyne Racing	70	+ 2 Laps	9	7
Mario Haberfeld	Walker Racing	62	Contact	16	6
Alex Sperafico	Mi-Jack Conquest Racing	46	Pit Incident	18	5
A. J. Allmendinger	RuSPORT	24	Fire	11	4
Tarso Marques	Dale Coyne Racing	11	Suspension	10	3
