Episode	Title	Story	Adapted by	Director	Airdate	Exists?
201	“ The Machine Stops ”	E. M. Forster	Kenneth Cavender & Clive Donner	Phillip Saville	6 October 1966	Yes
202	“Frankenstein Mark II”	Hugh Whitmore	n/a	Peter Duguid	13 October 1966	No
203	“Lambda 1”	Colin Kapp	Bruce Stewart	George Spenton-Foster	20 October 1966	Yes
204	“ Level Seven ”	Mordecai Roshwald	J. B. Priestley	Rudolph Cartier	27 October 1966	Yes
205	“Second Childhood”	Hugh Leonard	n/a	John Gorrie	10 November 1966	No
206	“The World in Silence”	John Rankine	Robert Gould	Naomi Capon	17 November 1966	No
207	“The Eye”	Henry Kuttner	Stanley Miller	Peter Sasdy	24 November 1966	No
208	“ Tunnel Under the World ”	Frederik Pohl	David Campton	Alan Cooke	1 December 1966	Yes
209	“The Fastest Draw”	Larry Eisenberg	Hugh Whitmore	Herbert Wise	8 December 1966	No
210	“Too Many Cooks”	Larry Eisenberg	Hugh Whitmore	John Gibson	15 December 1965	No
211	“Walk's End”	William Trevor	n/a	Ian Curteis	22 December 1966	No
212	“ Satisfaction Guaranteed ”	Isaac Asimov	Hugh Leonard	John Gorrie	29 December 1966	No
213	“ The Prophet ”	Isaac Asimov	Robert Muller	Naomi Capon	1 January 1967	No
