Rank	Athlete	Country	Day 1	Total
1	Vincent Hancock	United States	73	121
2	Tore Brovold	Norway	71	120
3	Anthony Terras	France	72	120
4	Antonis Nikolaidis	Cyprus	72	120
5	Georgios Achilleos	Cyprus	70	119
6	Qu Ridong	China	70	118
7	Jin Di	China	70	118
8	Juan Jose Aramburu	Spain	70	118
9	Abdullah Al-Rashidi	Kuwait	72	118
10	Zaid Al-Mutairi	Kuwait	70	118
11	Randal McLelland	United States	70	118
12	Harald Jensen	Norway	72	118
13	Tino Wenzel	Germany	68	117
14	Ennio Falco	Italy	70	117
15	Nasser Al-Attiyah	Qatar	70	117
16	Jan Sychra	Czech Republic	70	117
17	George Barton	Australia	71	116
18	Andrei Inešin	Estonia	66	115
19	Valeriy Shomin	Russia	68	115
20	Axel Wegner	Germany	69	115
21	Mario Nunez	Spain	71	115
22	Saeed Al Maktoum	United Arab Emirates	71	114
23	Konstantin Tsuranov	Russia	66	113
24	Andrea Benelli	Italy	68	113
25	Anders Golding	Denmark	68	112
26	Juan Carlos Romero	Guatemala	68	111
27	Ariel Mauricio Flores	Mexico	68	111
28	Jorge Atalah	Chile	68	111
29	Ziad Richa	Lebanon	69	111
30	Paul Rahman	Australia	64	110
31	Julio Elizardo Dujarric Lembcke	Dominican Republic	68	110
32	Mikola Milchev	Ukraine	64	109
33	Georgios Salavantakis	Greece	64	109
34	Andrei Gerachtchenko	Belarus	68	109
35	Ioan Toman	Romania	63	108
36	Franco Donato	Egypt	62	106
37	Rashid Hamad	Qatar	62	106
38	Diego Duarte Delgado	Colombia	65	106
39	Saied Al-Mutairi	Saudi Arabia	63	104
40	Marco Matellini	Peru	51	95
41	Roger Dahi	Syria	59	91
