Region	Median income ( Intl.$ )	Below 40% of median income	Below 50% of median income	Below 60% of median income
Arica and Parinacota	7420	9.3%	17.8%	24.9%
Tarapacá	9235	13.0%	18.6%	25.9%
Antofagasta	11246	10.4%	16.1%	24.0%
Atacama	8708	13.7%	19.3%	25.7%
Coquimbo	7125	9.6%	16.7%	23.1%
Valparaíso	7045	10.2%	16.4%	23.6%
Santiago	8909	11.0%	17.4%	24.0%
O'Higgins	7688	9.2%	16.2%	22.4%
Maule	6149	6.8%	13.4%	22.0%
Biobío	6082	9.4%	15.4%	23.0%
Araucanía	5473	11.1%	16.2%	24.4%
Los Ríos	6205	9.1%	14.9%	22.9%
Los Lagos	6532	9.3%	14.7%	22.3%
Aisén	9066	12.4%	18.8%	25.2%
Magallanes	9927	10.0%	16.2%	24.2%
