Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Manitoba	Jennifer Jones	9	2	77	56	50	39	16	15	85
British Columbia	Kelly Scott	8	3	87	74	54	46	8	12	79
Quebec	Marie-France Larouche	7	4	71	67	51	46	11	13	79
Alberta	Heather Nedohin	7	4	81	64	52	45	10	12	83
Canada	Amber Holland	6	5	71	65	43	49	13	10	81
New Brunswick	Rebecca Atkinson	5	6	70	78	43	50	11	5	78
Saskatchewan	Michelle Englot	5	6	89	78	50	50	5	14	80
Ontario	Tracy Horgan	4	7	69	69	44	46	10	13	78
Newfoundland and Labrador	Heather Strong	4	7	70	76	43	49	10	10	80
Northwest Territories Yukon	Kerry Galusha	4	7	61	85	45	49	4	12	74
Nova Scotia	Heather Smith-Dacey	4	7	63	84	45	45	12	12	76
