Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
Argentine Grand Prix	Buenos Aires	19 January	Juan Manuel Fangio	Juan Manuel Fangio	Stirling Moss	Cooper - Climax	C	Report
Monaco Grand Prix	Monaco	18 May	Tony Brooks	Mike Hawthorn	Maurice Trintignant	Cooper - Climax	D	Report
Dutch Grand Prix	Zandvoort	26 May	Stuart Lewis-Evans	Stirling Moss	Stirling Moss	Vanwall	D	Report
Indianapolis 500	Indianapolis	30 May	Dick Rathmann	Tony Bettenhausen	Jimmy Bryan	Epperly - Offenhauser	F	Report
Belgian Grand Prix	Spa-Francorchamps	15 June	Mike Hawthorn	Mike Hawthorn	Tony Brooks	Vanwall	D	Report
French Grand Prix	Reims	6 July	Mike Hawthorn	Mike Hawthorn	Mike Hawthorn	Ferrari	E	Report
British Grand Prix	Silverstone	19 July	Stirling Moss	Mike Hawthorn	Peter Collins	Ferrari	E	Report
German Grand Prix	Nürburgring	3 August	Mike Hawthorn	Stirling Moss	Tony Brooks	Vanwall	D	Report
Portuguese Grand Prix	Boavista	24 August	Stirling Moss	Mike Hawthorn	Stirling Moss	Vanwall	D	Report
Italian Grand Prix	Monza	7 September	Stirling Moss	Phil Hill	Tony Brooks	Vanwall	D	Report
Moroccan Grand Prix	Ain-Diab	19 October	Mike Hawthorn	Stirling Moss	Stirling Moss	Vanwall	D	Report
