Tie no	Home team	Score	Away team	Date
1	Southampton	1–2	Barnsley	4 March 1985
2	Blackburn Rovers	0–2	Manchester United	15 February 1985
3	Luton Town	0–0	Watford	4 March 1985
Replay	Watford	2–2	Luton Town	6 March 1985
Replay	Luton Town	1–0	Watford	9 March 1985
4	Everton	3–0	Telford United	16 February 1985
5	Ipswich Town	3–2	Sheffield Wednesday	4 March 1985
6	Millwall	2–0	Leicester City	19 February 1985
7	Wimbledon	1–1	West Ham United	4 March 1985
Replay	West Ham United	5–1	Wimbledon	6 March 1985
8	York City	1–1	Liverpool	16 February 1985
Replay	Liverpool	7–0	York City	20 February 1985
