Team	City	Inaugural season	Final season	Captain	Coach
Abbottabad Falcons	Abbottabad , KP	2005–06	2012–13	Younus Khan	Sajjad Akbar
Lahore Eagles	Lahore , PJ	2004–05	2012–13	Taufeeq Umar	Manzoor Elahi
Faisalabad Wolves	Faisalabad , PJ	2004–05	2012–13	Misbah-ul-Haq	Naveed Anjum
Bahawalpur Stags	Bahawalpur , PJ	2012–13	2012–13	Bilal Khilji	Shahid Anwar
Hyderabad Hawks	Hyderabad , SN	2004–05	2012–13	Rizwan Ahmed	Shaukat Mirza
Islamabad Leopards	Islamabad , CT	2005–06	2012–13	Umar Gul	Taimoor Azam
Afghan Cheetahs	Kabul , Afghanistan	2011–12	2011–12	Mohammad Nabi	Raees Ahmadzai
Karachi Dolphins	Karachi , SN	2004–05	2012–13	Shahid Afridi	Tauseef Ahmed
Lahore Lions	Lahore , PJ	2004–05	2012–13	Mohammad Hafeez	Mohsin Kamal
Multan Tigers	Multan , PJ	2004–05	2012–13	Abdur Rauf	Manzoor Elahi
Peshawar Panthers	Peshawar , KP	2004–05	2012–13	Akbar Badshah	Abdur Rehman
Quetta Bears	Quetta , BL	2004–05	2012–13	Gohar Faiz	Arshad Khan
Rawalpindi Rams	Rawalpindi , PJ	2004–05	2012–13	Sohail Tanvir	Sabih Azhar
Sialkot Stallions	Sialkot , PJ	2004–05	2012–13	Shoaib Malik	Ijaz Ahmed jnr
Karachi Zebras	Karachi , SN	2004–05	2012–13	Rameez Raja	Azam Khan
