Date	Site	Sport	Winning team	Series
September 10, 2010	Iowa City	Volleyball	Iowa State	Iowa State 2–0
September 11, 2010	Iowa City	Football	Iowa	Iowa 3–2
September 17, 2010	Ames	W Soccer	Iowa	Iowa 5–2
November 13, 2010	Springfield	M Cross Country	Iowa State	Iowa 5–4
November 13, 2010	Springfield	W Cross Country	Iowa State	Iowa State 6–5
December 3, 2010	Iowa City	Wrestling	Iowa	Iowa 7–6
December 9, 2010	Iowa City	W Basketball	Iowa	Iowa 9–6
December 10, 2010	Iowa City	M Basketball	Iowa State	Iowa 9–8
December 10, 2010	Iowa City	W Swimming	Iowa	Iowa 11–8
February 18, 2011	Ames	W Gymnastics	Iowa State	Iowa 11–10
February 25, 2011	Iowa City	W Gymnastics	Iowa	Iowa 13–10
April 20, 2011	Iowa City	Softball	Iowa	Iowa 15–10
May 5, 2011	Iowa City	Academics	Iowa State	Iowa 15–11
