Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:17:09.672	1
Eddie Irvine	Ferrari	53	+37.977	5
Ralf Schumacher	Jordan - Mugen-Honda	53	+41.152	6
Mika Häkkinen	McLaren - Mercedes	53	+55.671	3
Jean Alesi	Sauber - Petronas	53	+1:01.872	8
Damon Hill	Jordan - Mugen-Honda	53	+1:06.688	14
Heinz-Harald Frentzen	Williams - Mecachrome	52	+1 Lap	12
Giancarlo Fisichella	Benetton - Playlife	52	+1 Lap	11
Toranosuke Takagi	Tyrrell - Ford	52	+1 Lap	19
Rubens Barrichello	Stewart - Ford	52	+1 Lap	13
Esteban Tuero	Minardi - Ford	51	+2 Laps	22
Ricardo Rosset	Tyrrell - Ford	51	+2 Laps	18
Jarno Trulli	Prost - Peugeot	50	+3 Laps	10
Jos Verstappen	Stewart - Ford	39	Gearbox	17
Jacques Villeneuve	Williams - Mecachrome	37	Spun off	2
Mika Salo	Arrows	32	Throttle	16
Alexander Wurz	Benetton - Playlife	24	Gearbox	7
David Coulthard	McLaren - Mercedes	16	Engine	4
Olivier Panis	Prost - Peugeot	15	Vibrations	9
Shinji Nakano	Minardi - Ford	13	Engine	21
Johnny Herbert	Sauber - Petronas	12	Spun off	15
Pedro Diniz	Arrows	10	Spun off	20
