Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
34	January 2	Washington	W 108–83 (OT)	Paul Pierce (26)	Kendrick Perkins (10)	Rajon Rondo (14)	TD Banknorth Garden 18,624	29–5
35	January 4	@ New York	L 88–100 (OT)	Paul Pierce (31)	Kevin Garnett (9)	Paul Pierce (4)	Madison Square Garden 19,763	29–6
36	January 6	@ Charlotte	L 106–114 (OT)	Paul Pierce (28)	Kevin Garnett (13)	Rajon Rondo (6)	Time Warner Cable Arena 17,112	29–7
37	January 7	Houston	L 85–89 (OT)	Paul Pierce (26)	Kevin Garnett (8)	Ray Allen (6)	TD Banknorth Garden 18,624	29–8
38	January 9	@ Cleveland	L 83–98 (OT)	Kevin Garnett (18)	Kevin Garnett (15)	Rajon Rondo (13)	Quicken Loans Arena 20,562	29–9
39	January 11	@ Toronto	W 94–88 (OT)	Ray Allen (36)	Kevin Garnett , Glen Davis (11)	Rajon Rondo (11)	Air Canada Centre 19,800	30–9
40	January 12	Toronto	W 115–109 (OT)	Paul Pierce (39)	Kevin Garnett (12)	Rajon Rondo (8)	TD Banknorth Garden 18,624	31–9
41	January 14	New Jersey	W 118–86 (OT)	Paul Pierce (22)	Kevin Garnett (9)	Rajon Rondo (12)	TD Banknorth Garden 18,624	32–9
42	January 17	@ New Jersey	W 105–85 (OT)	Ray Allen (25)	Kevin Garnett (10)	Rajon Rondo (14)	Izod Center 17,578	33–9
43	January 19	Phoenix	W 104–87 (OT)	Rajon Rondo (23)	Glen Davis (9)	Paul Pierce (8)	TD Banknorth Garden 18,624	34–9
44	January 21	@ Miami	W 98–83 (OT)	Ray Allen (27)	Kevin Garnett (13)	Rajon Rondo (10)	American Airlines Arena 19,600	35–9
45	January 22	@ Orlando	W 90–80 (OT)	Paul Pierce (27)	Paul Pierce (10)	Paul Pierce (4)	Amway Arena 17,461	36–9
46	January 25	Dallas	W 124–100 (OT)	Eddie House , Ray Allen , Kevin Garnett (23)	Rajon Rondo (7)	Rajon Rondo (14)	TD Banknorth Garden 18,624	37–9
47	January 28	Sacramento	W 119–100 (OT)	Eddie House (28)	Tony Allen , Kevin Garnett (8)	Rajon Rondo (9)	TD Banknorth Garden 18,624	38–9
