Date	Opponent	Score	Loss	Record
August 1	@ Cubs	2–1	Farnsworth (1–6)	51–54
August 2	@ Cubs	3–2	Wasdin (1–4)	51–55
August 4	Phillies	8–1	Bottenfield (7–9)	52–55
August 5	Phillies	7–6	Brantley (1–6)	53–55
August 6	Phillies	10–9	Astacio (9–8)	53–56
August 7	Pirates	8–7	Jiménez (5–1)	53–57
August 8	Pirates	6–1	Silva (7–6)	54–57
August 9	Pirates	4–3	Williams (2–3)	55–57
August 10	@ Cardinals	5–4	Jiménez (5–2)	55–58
August 11	@ Expos	10–3	Hermanson (8–10)	56–58
August 12	@ Expos	14–2	Moore (1–2)	57–58
August 13	@ Expos	5–3	Strickland (4–2)	58–58
August 14	@ Expos	4–3	Strickland (4–3)	59–58
August 15	@ Mets	7–5	House (1–1)	59–59
August 15	@ Mets	4–3	Chouinard (1–2)	59–60
August 16	@ Mets	7–5	Rusch (8–10)	60–60
August 17	@ Mets	13–2	Yoshii (5–13)	60–61
August 18	Marlins	9–8	Rose (4–6)	60–62
August 19	Marlins	10–3	Cornelius (3–6)	61–62
August 20	Marlins	13–4	Sánchez (8–9)	62–62
August 21	Braves	7–4	Bohanon (7–9)	62–63
August 22	Braves	7–6 (12)	Rocker (1–1)	63–63
August 23	Braves	5–2	Rose (4–7)	63–64
August 25	@ Pirates	6–3	Anderson (4–7)	64–64
August 26	@ Pirates	11–4	Silva (8–8)	65–64
August 27	@ Pirates	9–2	Serafini (1–3)	66–64
August 28	@ Phillies	3–2	Yoshii (5–14)	66–65
August 29	@ Phillies	2–1	Daal (3–16)	67–65
August 30	@ Phillies	5–4 (11)	Gomes (4–6)	68–65
