Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 November 2007	Trail Blazers	W 113–93 (OT)	Hornets	Chris Paul (19)	9,817	2–0
4 November 2007	Hornets	W 93–88 (OT)	Nuggets	David West (17)	13,156	3–0
6 November 2007	Hornets	W 118–104 (OT)	Lakers	Peja Stojakovic (36)	18,997	4–0
7 November 2007	Hornets	L 90–93 (OT)	Trail Blazers	David West (34)	19,980	4–1
9 November 2007	Spurs	L 85–97 (OT)	Hornets	Chris Paul (18)	15,297	4–2
11 November 2007	Hornets	W 93–72 (OT)	76ers	Two-way tie (16)	10,014	5–2
12 November 2007	Hornets	W 84–82 (OT)	Nets	Chris Paul (27)	12,832	6–2
14 November 2007	76ers	W 95–76 (OT)	Hornets	Morris Peterson (27)	8,302	7–2
16 November 2007	Hornets	W 120–118 (OT)	Grizzlies	David West (40)	13,271	8–2
17 November 2007	Hornets	W 100–82 (OT)	Timberwolves	Peja Stojakovic (22)	15,324	9–2
19 November 2007	Magic	L 88–95 (OT)	Hornets	Peja Stojakovic (21)	11,741	9–3
21 November 2007	Pacers	L 93–105 (OT)	Hornets	David West (23)	11,609	9–4
23 November 2007	Hornets	L 71–99 (OT)	Jazz	David West (18)	19,911	9–5
24 November 2007	Hornets	W 98–89 (OT)	Clippers	Peja Stojakovic (22)	15,601	10–5
26 November 2007	Timberwolves	L 94–103 (OT)	Hornets	Chris Paul (31)	8,393	10–6
30 November 2007	Hornets	W 92–86 (OT)	Hawks	David West (22)	14,186	11–6
