Rank	Peak Name	Elevation (ft)	Range	Isolation
1	Mount Mitchell	6,684	Black Mountains	1,189
2	Mount Craig	6,647	Black Mtns	.91
3	Clingmans Dome	6,643	Great Smoky Mountains	70.64
4	Mount Guyot	6,621	Great Smoky Mtns	16.73
5	Balsam Cone	6,611	Black Mtns	.88
6	Cattail Peak	6,600	Black Mtns	.62
7	Mount LeConte	6,593	Great Smoky Mtns	7.21
8	Mount Buckley	6,580	Great Smoky Mtns	.42
9	Mount Gibbes	6,571	Black Mtns	2.35
10	Big Tom	6,560	Black Mtns	.19
11	Clingmans Peak	6,557	Black Mtns	.02
12	Potato Hill	6,475	Black Mtns	.29
13	Mount Love	6,446	Great Smoky Mtns	.41
14	Mount Chapman	6,417	Great Smoky Mtns	1.48
15	Richland Balsam	6,410	Great Balsam Mountains	27.13
16	Potato Knob	6,400	Black Mtns	.45
17	Old Black	6,370	Great Smoky Mtns	.70
18	Blackstock Knob	6,359	Black Mtns	1.64
19	Celo Knob	6,327	Black Mtns	3.52
20	Mount Hallback	6,320	Black Mtns	1.11
21	Waterrock Knob	6,292	Plott Balsams	10.66
22	Roan High Knob	6,285	Unaka Mountains	18.81
23	Roan High Bluff	6,267	Unaka Mountains	1.54
24	Browning Knob	6,240	Plott Balsams	.33
25	Luftee Knob	6,234	Great Smoky Mtns	2.53
26	Gibbs Mountain	6,224	Black Mtns	.81
27	Mount Lyn Lowry	6,220	Plott Balsams	1.22
28	Mount Kephart	6,217	Great Smoky Mtns	3.09
29	Black Balsam Knob	6,214	Great Balsam Mtns	7.08
30	Winter Star Mountain	6,212	Black Mtns	1.13
31	Percys Peak	6,200	Black Mtns	.32
32	Grassy Ridge Bald	6,189	Unaka Mountains	2.35
33	Mount Collins	6,188	Great Smoky Mtns	1.80
34	Marks Knob	6,169	Great Smoky Mtns	1.34
35	Big Cataloochee Mountain	6,155	Great Smoky Mtns	2.61
36	Mount Hardison	6,134	Great Smoky Mtns	.60
37	Tricorner Knob	6,120	Great Smoky Mtns	.55
38	Mount Yonaguska	6,120	Great Smoky Mtns	.33
39	Mount Ambler	6,120	Great Smoky Mtns	.45
40	Mount Hardy	6,110	Great Balsam Mtns	3.46
41	Craggy Dome	6,105	Great Craggy Mountains	3.49
42	Plott Balsam	6,088	Plott Balsams	1.69
43	Thermo Knob	6,080	Great Smoky Mtns	.62
44	Reinhart Knob	6,080	Great Balsam Mtns	1.41
45	Sam Knob	6,050	Great Balsam Mtns	1.15
46	Shining Rock	6,040	Great Balsam Mtns	2.87
47	Grassy Cove Top	6,040	Great Balsam Mtns	1.37
48	Tennent Mountain	6,040	Great Balsam Mtns	.71
49	Patton Knob	6,040	Black Mtns	.80
50	Chestnut Bald	6,040	Great Balsam Mtns	1.67
51	Yellow Face	6,032	Plott Balsams	1.16
52	Cold Mountain	6,030	Great Balsam Mtns	2.86
53	Mount Sequoyah	6,003	Great Smoky Mtns	1.28
