No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
72	1	"Can You Hear Me Now?"	David Von Ancken	Zachary Reiter & Pam Veasey	September26,2007	12.72
73	2	"The Deep"	Oz Scott	Wendy Battles	October3,2007	12.69
74	3	"You Only Die Once"	Jonathan Glassner	Sam Humphrey	October10,2007	13.43
75	4	"Time's Up"	Rob Bailey	Trey Callaway	October17,2007	13.99
76	5	"Down the Rabbit Hole"	Christine Moore	Sam Humphrey & Peter M. Lenkov	October24,2007	13.82
77	6	"Boo"	Joe Dante	Peter M. Lenkov & Daniele Nathanson	October31,2007	13.40
78	7	"Commuted Sentences"	Oz Scott	John Dove	November7,2007	12.92
79	8	"Buzzkill"	Jeffrey Hunt	Jill Abbinanti	November14,2007	13.13
80	9	"One Wedding and a Funeral"	Rob Bailey	Barbie Kligman	November21,2007	14.56
81	10	"The Thing About Heroes"	Anthony Hemingway	Pam Veasey	November28,2007	14.19
82	11	"Child's Play"	Jeffrey Hunt	Trey Callaway & Pam Veasey	December12,2007	14.36
83	12	"Happily Never After"	Marshall Adams	Daniele Nathanson & Noah Nelson	January9,2008	11.71
84	13	"All in the Family"	Rob Bailey	Wendy Battles	January23,2008	11.51
85	14	"Playing With Matches"	Christine Moore	Bill Haynes	February6,2008	10.16
86	15	"DOA For a Day"	Christine Moore	Peter M. Lenkov & John Dove	April2,2008	12.85
87	16	"Right Next Door"	Rob Bailey	Pam Veasey	April9,2008	12.38
88	17	"Like Water For Murder"	Anthony Hemingway	Sam Humphrey	April16,2008	13.43
89	18	"Admissions"	Rob Bailey	Zachary Reiter	April30,2008	11.51
90	19	"Personal Foul"	David Von Ancken	Trey Callaway	May7,2008	12.73
91	20	"Taxi"	Christine Moore	Barbie Kligman & John Dove	May14,2008	11.86
