Date	Opponent	Score	Leading Scorer	Attendance	Record
May 17	vs. Chicago	67-61	Lauren Jackson (14)	12,079	1-0
May 20	vs. Sacramento	74-62	Lauren Jackson (17) Sue Bird (17) Swin Cash (17)	6,871	2-0
May 22	@ Phoenix	87-83	Lauren Jackson (30)	7,059	3-0
May 24	@ San Antonio	72-87	Swin Cash (15)	9,767	3-1
May 30	vs. San Antonio	78-57	Lauren Jackson (28)	6,810	4-1
June 1	vs. Houston	64-63	Swin Cash (19)	6,116	5-1
June 3	@ New York	63-77	Lauren Jackson (19)	6,928	5-2
June 4	@ Detroit	67-77	Lauren Jackson (27)	8,108	5-3
June 7	vs. Detroit	75-67	Lauren Jackson (24)	7,105	6-3
June 11	vs. Phoenix	83-77	Lauren Jackson (20)	7,483	7-3
June 13	@ San Antonio	69-74	Sue Bird (21)	6,478	7-4
June 13	@ Houston	60-68	Lauren Jackson (18)	7,023	7-5
June 16	vs. Connecticut	67-74	Lauren Jackson (26)	6,872	7-6
June 20	vs. Indiana	78-70	Lauren Jackson (18)	7,393	8-6
June 24	@ Los Angeles	62-76	Sue Bird (11)	8,032	8-7
June 29	vs. Washington	64-49	Sue Bird (14)	7,965	9-7
July 3	vs. New York	84-71	Lauren Jackson (33)	6,973	10-7
July 5	vs. Minnesota	96-71	Lauren Jackson (34)	7,553	11-7
July 8	@ Sacramento	79-64	Lauren Jackson (17)	5,727	12-7
July 10	vs. Phoenix	89-78	Lauren Jackson (25)	10,454	13-7
July 12	vs. Los Angeles	70-52	Sue Bird (18)	10,833	14-7
July 18	@ Indiana	65-59	Sheryl Swoopes (15)	7,450	15-7
July 20	@ Washington	57-89	Katie Gearlds (13)	8,543	15-8
July 22	@ Minnesota	76-73	Sue Bird (22)	12,276	16-8
July 25	@ Phoenix	80-94	Yolanda Griffith (17)	8,323	16-9
July 27	vs. Sacramento	77-71	Sue Bird (24)	8,651	17-9
August 28	vs. Houston	66-49	Sue Bird (22)	8,320	18-9
August 31	@ Connecticut	76-80	Sue Bird (24)	9,518	18-10
September 2	@ Atlanta	83-69	Sue Bird (21)	7,390	19-10
September 4	@ Chicago	70-62	Sue Bird (19)	3,829	20-10
September 6	vs. Minnesota	96-88	Sue Bird (23)	9,339	21-10
September 9	@ Sacramento	74-77	Tanisha Wright (17) Katie Gearlds (17)	11,644	21-11
September 12	vs. Atlanta	77-72	Camille Little (21)	9,686	22-11
September 14	@ Los Angeles	48-65	Shyra Ely (16)	13,142	22-12
