Team	Stadium	Match played	Highest	Lowest	Average
Busan I'Park	Asiad Main Stadium	14	17577	3998	7221
Chunnam Dragons	Gwang-Yang Stadium Suncheon Stadium	13 1	19800	10420	13263
Daegu FC	Daegu Stadium Daegu Civil Stadium	12 2	32250	3201	8541
Daejeon Citizen	Daejeon World Cup Stadium	14	16561	3535	8596
FC Seoul	Seoul World Cup Stadium	14	36764	7685	16779
Gangwon FC	Gangneung Stadium Chuncheon Stadium	10 4	21316	5129	14787
Gwangju Sangmu	Gwangju World Cup Stadium Yeonggwang Sportium	13 1	25762	2873	7719
Incheon United	Incheon World Cup Stadium	14	34275	2315	10499
Jeju United FC	Jeju World Cup Stadium	14	32765	1753	7757
Jeonbuk Hyundai Motors	Jeonju World Cup Stadium	14	21516	10756	14227
Pohang Steelers	Pohang Steelyard	14	16382	7348	11041
Seongnam Ilhwa Chunma	Seongnam Sports Complex	14	17049	1367	7917
Suwon Samsung Bluewings	Big Bird Stadium	14	35058	10206	18583
Ulsan Hyundai	Ulsan Munsu Stadium	14	13761	3864	9188
