Week	Date	Opponent	Result	TV Time	Record	Attendance
1	September 8, 2002	Seattle Seahawks	W 31–17	FOX 4:15et	1–0	53,260
2	September 15, 2002	at Pittsburgh Steelers	W 30–17	ESPN 8:30et	2–0	62,260
3	Bye	Bye	Bye	Bye	Bye	Bye
4	September 29, 2002	Tennessee Titans	W 52–25	CBS 4:15et	3–0	58,719
5	October 6, 2002	at Buffalo Bills	W 49–31	CBS 1:00et	4–0	73,038
6	October 13, 2002	at St. Louis Rams	L 28–13	CBS 4:15et	4–1	66,070
7	October 20, 2002	San Diego Chargers	L 27–21 (OT)	CBS 4:05et	4–2	60,974
8	October 27, 2002	at Kansas City Chiefs	L 20–10	CBS 1:00et	4–3	78,685
9	November 3, 2002	San Francisco 49ers	L 23–20 (OT)	FOX 4:15et	4–4	62,660
10	November 11, 2002	at Denver Broncos	W 34–10	ABC 9:00et	5–4	76,643
11	November 17, 2002	New England Patriots	W 27–20	ESPN 8:30et	6–4	62,552
12	November 24, 2002	at Arizona Cardinals	W 41–20	CBS 1:05et	7–4	58,814
13	December 2, 2002	New York Jets	W 26–20	ABC 9:00et	8–4	62,257
14	December 8, 2002	at San Diego Chargers	W 27–7	CBS 4:15et	9–4	67,968
15	December 15, 2002	at Miami Dolphins	L 23–17	CBS 1:00et	9–5	73,572
16	December 22, 2002	Denver Broncos	W 28–16	CBS 4:15et	10–5	62,592
17	December 28, 2002	Kansas City Chiefs	W 24–0	CBS 5:00et	11–5	62,078
