Administrative county	Area 1891 (Statute acres)	Population 1891	Area 1961 (Statute acres)	Population 1961
Anglesey	175836	50098	176694	51705
Brecknockshire	469894	51393	469281	55185
Cardiganshire	443071	63467	443189	53648
Carmarthenshire	587816	130566	588271	168008
Caernarfonshire (1)	360138	117233	364108	121767
Denbighshire	424235	118843	427978	174151
Flintshire	164051	77277	163707	150082
Glamorgan	505815	467954	468808	523253
Merionethshire	427810	49212	422372	38310
Monmouthshire (2)	342548	203347	346779	336556
Montgomeryshire	510111	58003	510110	41165
Pembrokeshire	392710	88296	393008	94124
