Member countries	Population	Area (km²)	GDP (billion US$)	GDP per capita (US$)
Cyprus	775,927	9,250	11.681	15,054
Czech Republic	10,246,178	78,866	105.248	10,272
Estonia	1,341,664	45,226	22.384	16,684
Hungary	10,032,375	93,030	102,183	10,185
Latvia	2,306,306	64,589	24.826	10,764
Lithuania	3,607,899	65,200	31.971	8,861
Malta	396,851	316	5.097	12,843
Poland	38,580,445	311,904	316.438	8,202
Slovakia	5,423,567	49,036	42.800	7,810
Slovenia	2,011,473	20,273	29.633	14,732
Accession countries	74,722,685	737,690	685.123	9,169
Existing members (2004)	381,781,620	3,367,154	7,711.871	20,200
EU25 (2004)	456,504,305 (+19.57%)	4,104,844 (+17.97%)	8,396,994 (+8.88%)	18,394 (−8.94%)
