Driver	Car #	Make	Points	Laps	Winnings
Jeff Gordon	24	Chevrolet	190	312	$251,411
Tony Stewart	20	Chevrolet	180	312	$209,411
Denny Hamlin	11	Chevrolet	170	312	$158,150
Jimmie Johnson	48	Chevrolet	160	312	$158,046
Matt Kenseth	17	Ford	155	312	$149,766
Jeff Green	66	Chevrolet	150	312	$124,283
Kyle Busch	5	Chevrolet	146	312	$97,875
Bobby Labonte	43	Dodge	142	312	$118,561
Johnny Sauter	70	Chevrolet	138	312	$79,925
Kevin Harvick	29	Chevrolet	139	312	$126,261
Carl Edwards	99	Ford	130	312	$83,625
Mark Martin	1	Chevrolet	127	312	$98,183
Jeff Burton	31	Chevrolet	124	312	$109,266
Tony Raines	96	Chevrolet	121	312	$81,925
Reed Sorenson	41	Dodge	118	312	$93,208
Joe Nemechek	13	Chevrolet	120	312	$65,275
Greg Biffle	16	Ford	112	312	$83,075
Kurt Busch	2	Dodge	109	312	$103,108
Dale Earnhardt Jr.	8	Chevrolet	106	312	$110,058
Martin Truex Jr.	1	Chevrolet	103	311	$95,920
J.J. Yeley	18	Chevrolet	100	311	$97,883
Clint Bowyer	7	Chevrolet	97	311	$75,950
Jamie McMurray	26	Ford	94	310	$77,175
Robby Gordon	7	Ford	91	310	$67,475
Paul Menard *	15	Chevrolet	88	310	$65,350
Ricky Rudd	88	Ford	85	310	$98,658
Sterling Marlin	14	Chevrolet	87	309	$78,558
Ken Schrader	21	Ford	79	309	$86,889
Dale Jarrett	44	Toyota	76	309	$63,350
Kyle Petty	45	Dodge	78	309	$76,347
Kasey Kahne	9	Dodge	70	309	$110,266
David Reutimann *	0	Toyota	67	309	$65,925
Juan Montoya *	42	Dodge	64	309	$101,325
Elliott Sadler	19	Dodge	61	308	$83,520
David Gilliland	38	Ford	58	308	$89,764
Ward Burton	4	Chevrolet	55	305	$63,150
Casey Mears	25	Chevrolet	52	303	$70,275
Ryan Newman	12	Dodge	49	301	$94,200
Dave Blaney	22	Toyota	46	281	$70,000
Kenny Wallace	78	Chevrolet	43	279	$61,850
David Ragan *	6	Ford	40	264	$97,530
Scott Riggs	10	Dodge	37	250	$69,780
David Stremme	40	Dodge	34	248	$61,736
