Driver	Constructor	Laps	Time/Retired	Grid
Jack Brabham	Cooper - Climax	36	2:21:37.3	1
Bruce McLaren	Cooper - Climax	36	+ 1:03.3	14
Olivier Gendebien	Cooper - Climax	35	+ 1 Lap	5
Phil Hill	Ferrari	35	+ 1 Lap	4
Jim Clark	Lotus - Climax	34	+ 2 Laps	10
Lucien Bianchi	Cooper - Climax	28	+ 8 Laps	15
Graham Hill	BRM	35	Engine	6
Alan Stacey	Lotus - Climax	24	Fatal accident	17
Willy Mairesse	Ferrari	23	Transmission	13
Wolfgang von Trips	Ferrari	22	Transmission	11
Chris Bristow	Cooper - Climax	19	Fatal accident	9
Chuck Daigh	Scarab	16	Engine	18
Jo Bonnier	BRM	14	Engine	7
Innes Ireland	Lotus - Climax	13	Accident	8
Dan Gurney	BRM	4	Engine	12
Tony Brooks	Cooper - Climax	2	Gearbox	2
Lance Reventlow	Scarab	1	Engine	16
Stirling Moss	Lotus - Climax	0	Accident	3
Mike Taylor	Lotus - Climax	0	Accident	19
