Week	Date	Opponent	Result	Attendance
1	September 11, 2005	at Buffalo Bills	L 22–7	71,781
2	September 18, 2005	Pittsburgh Steelers	L 27–7	70,742
3	Bye	Bye	Bye	Bye
4	October 2, 2005	at Cincinnati Bengals	L 16–10	65,714
5	October 9, 2005	Tennessee Titans	L 34–20	70,430
6	October 16, 2005	at Seattle Seahawks	L 42–10	66,196
7	October 23, 2005	Indianapolis Colts	L 38–20	70,621
8	October 30, 2005	Cleveland Browns	W 19–16	70,064
9	November 6, 2005	at Jacksonville Jaguars	L 21–14	64,613
10	November 13, 2005	at Indianapolis Colts	L 31–17	57,209
11	November 20, 2005	Kansas City Chiefs	L 45–17	70,481
12	November 27, 2005	St. Louis Rams	L 33–27 (OT)	70,010
13	December 4, 2005	at Baltimore Ravens	L 16–15	69,909
14	December 11, 2005	at Tennessee Titans	L 13–10	69,149
15	December 18, 2005	Arizona Cardinals	W 30–19	70,024
16	December 24, 2005	Jacksonville Jaguars	L 38–20	70,025
17	January 1, 2006	at San Francisco 49ers	L 20–17	67,970
