Locomotive superintendent	GNoSR Class	LNER class	Quantity Built	Passed to LNER	Manufacturer	Date introduced
William Cowan (1857–83)	K	D47/2	6	3	Neilson & Co.	1866
William Cowan (1857–83)	L	D47/1	6	6	Neilson & Co.	1876
William Cowan (1857–83)	M	D45	9	9	Neilson & Co.	1878
William Cowan (1857–83)	C	D39	3	3	Neilson & Co.	1879
James Manson (1883–90)	A	D44	6	6	Kitson & Co.	1884
James Manson (1883–90)	G	D48	3	3	Kitson & Co.	1885
James Manson (1883–90)	D	J90	6	6	Kitson & Co.	1884
James Manson (1883–90)	E	J91	3	3	Kitson & Co.	1885
James Manson (1883–90)	N	D46	2	2	GNSR Kittybrewster	1887
James Manson (1883–90)	O	D42	9	9	Kitson & Co.	1888
James Manson (1883–90)	P	D43	3	3	R. Stephenson & Co.	1890
James Manson (1883–90)	Q	D38	3	3	R. Stephenson & Co.	1890
James Johnson (1890–94)	R	G10	9	9	Neilson & Co.	1893
James Johnson (1890–94)	S	D41	6	6	Neilson & Co.	1893
William Pickersgill (1894–1914)	T	D41	26	26	Neilson & Co.	1895–98
William Pickersgill (1894–1914)	V	D40	5	13	Neilson & Co.	1899–1900
William Pickersgill (1894–1914)	V	D40	8	13	GNSR Inverurie	1910–15
Thomas E. Heywood (1914–23)	Y	Z5	2	2	Manning Wardle	1915
Thomas E. Heywood (1914–23)	X	Z5, later Z4	2	2	Manning Wardle	1915
Thomas E. Heywood (1914–23)	F	D40	6	8	North British Loco. Co.	1920
Thomas E. Heywood (1914–23)	F	D40	2	8	GNSR Inverurie	1921
