Institution	Nickname	Location	Founded	Type	Enrollment
Alice Lloyd College	Eagles	Pippa Passes, Kentucky	1923	Private	600
Asbury University	Eagles	Wilmore, Kentucky	1890	Private	1300
Berea College	Mountaineers	Berea, Kentucky	1855	Private	1514
Brescia University	Bearcats	Owensboro, Kentucky	1950	Private	750
Carlow University 1	Celtics	Pittsburgh, Pennsylvania	1929	Private	2400
Cincinnati Christian University	Eagles	Cincinnati, Ohio	1924	Private	1100
Indiana University East	Red Wolves	Richmond, Indiana	1971	Public	2700
Indiana University Kokomo	Cougars	Kokomo, Indiana	1945	Public	3719
Indiana University Southeast	Grenadiers	New Albany, Indiana	1941	Public	6840
Midway College 1	Eagles	Midway, Kentucky	1847	Private	1800
Point Park University	Pioneers	Pittsburgh, Pennsylvania	1960	Private	3376
