Country	Skip	Third	Second	Lead
Canada	Stacie Devereaux	Stephanie Guzzwell	Sarah Paul	Julie Devereaux
China	Sun Yue	Li Xue	Yu Xinna	Chen Yinjie
Czech Republic	Anna Kubešková	Linda Klímová	Tereza Plíšková	Michaela Nadherová
Denmark	Madeleine Dupont	Jeanne Ellegaard	Mona Sylvest Nielsen	Ivana Bratic
Italy	Georgia Apollonio	Elettra de Col	Giulia Dal Pont	Giorgia Casagrande
Norway	Kristin Moen Skaslien	Marte Bakk	Solveig Enoksen	Ingrid Stensrud
Russia	Liudmila Privivkova	Ekaterina Galkina	Margarita Fomina	Angela Tuvaeva
Scotland	Sarah Reid	Eve Muirhead	Barbara McFarlane	Sarah MacIntyre
Switzerland	Sandra Zurbuchen	Martina Baumann	Fränziska Kaufmann	Fabienne Kaufmann
United States	Aileen Sormunen	Courtney George	Molly Bonner	Jordan Moulton
