Game	Date	Team	Score	High points	High assists	Location Attendance	Record
34	January 2	@ Oklahoma City	W 122–120 (OT)	Carmelo Anthony (31)	Chauncey Billups , Anthony Carter (7)	Ford Center 18,613	22–12
35	January 3	New Orleans	W 105–100 (OT)	Carmelo Anthony (22)	Chauncey Billups (6)	Pepsi Center 19,614	23–12
36	January 5	Indiana	W 135–115 (OT)	Kenyon Martin (25)	Chauncey Billups (11)	Pepsi Center 14,255	24–12
37	January 7	Miami	W 108–97 (OT)	Chauncey Billups , J. R. Smith , Linas Kleiza (21)	Anthony Carter (9)	Pepsi Center 15,459	25–12
38	January 9	Detroit	L 90–93 (OT)	Chauncey Billups (30)	Chauncey Billups , J. R. Smith (4)	Pepsi Center 19,682	25–13
39	January 13	Dallas	W 99–97 (OT)	Chauncey Billups (23)	J. R. Smith (7)	Pepsi Center 14,158	26–13
40	January 15	Phoenix	W 119–113 (OT)	Chauncey Billups (26)	Chauncey Billups (8)	Pepsi Center 18,073	27–13
41	January 17	Orlando	L 88–106 (OT)	Linas Kleiza (26)	Anthony Carter (7)	Pepsi Center 19,749	27–14
42	January 19	@ Houston	L 113–115 (OT)	J. R. Smith (24)	Chauncey Billups (12)	Toyota Center 18,199	27–15
43	January 20	Sacramento	W 118–99 (OT)	Linas Kleiza (27)	Anthony Carter (10)	Pepsi Center 15,164	28–15
44	January 25	Utah	W 117–97 (OT)	Nenê (28)	Anthony Carter (10)	Pepsi Center 17,895	29–15
45	January 27	@ Memphis	W 100–85 (OT)	Chauncey Billups (29)	Kenyon Martin (4)	FedExForum 11,338	30–15
46	January 28	@ New Orleans	L 81–94 (OT)	Kenyon Martin (22)	Anthony Carter (6)	New Orleans Arena 15,792	30–16
47	January 30	Charlotte	W 110–99 (OT)	Nenê (22)	Anthony Carter , Chauncey Billups (6)	Pepsi Center 18,463	31–16
