Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Oviedo	38	51+13	21	9	8	40	19	+21
2	CD Castellón	38	50+12	21	8	9	50	29	+21
3	Real Zaragoza	38	50+12	21	8	9	66	31	+35
4	Elche CF	38	49+11	20	9	9	47	21	+26
5	Cultural Leonesa	38	42+4	18	6	14	55	53	+2
6	CD Logroñés	38	41+3	16	9	13	39	36	+3
7	Real Valladolid	38	39+1	16	7	15	50	45	+5
8	Rayo Vallecano	38	39+1	14	11	13	37	40	-3
9	CD Tenerife	38	38	14	10	14	48	33	+15
10	CD San Andrés	38	38	15	8	15	36	33	+3
11	Pontevedra CF	38	36-2	13	10	15	38	45	-7
12	RCD Mallorca	38	36-2	11	14	13	25	33	-8
13	CD Mestalla	38	34-4	11	12	15	31	47	-16
14	Hércules CF	38	34-4	13	8	17	43	40	+3
15	Real Santander	38	34-4	14	6	18	33	45	-18
16	Cádiz CF	38	34-4	14	6	18	38	43	-5
17	Villarreal CF	38	32-6	10	12	16	30	48	-18
18	Ferrol	38	29-9	10	9	19	31	58	-27
19	Jerez Deportivo	38	27-11	6	15	17	26	49	-23
20	UP Langreo	38	27-11	11	5	22	38	53	-15
