Name	Team	Laps	Time/Retired	Grid
Mark Winterbottom	Ford Performance Racing	50	53:09.6602	1
Mark Skaife	Holden Racing Team	50	+ 2.6s	2
Garth Tander	Holden Racing Team	50	+ 5.9s	3
Steven Richards	Ford Performance Racing	50	+ 6.2s	6
Craig Lowndes	Team Vodafone	50	+ 7.7s	4
Rick Kelly	HSV Dealer Team	50	+ 14.7s	7
Jamie Whincup	Team Vodafone	50	+ 15.8s	22
Will Davison	Jim Beam Racing	50	+ 18.0s	17
Todd Kelly	Jack Daniel's Racing	50	+ 22.2s	8
Cameron McConville	Brad Jones Racing	50	+ 24.3s	13
Russell Ingall	Supercheap Auto Racing	50	+ 27.6s	14
Greg Murphy	Tasman Motorsport	50	+ 30.8s	16
Steven Johnson	Jim Beam Racing	50	+ 30.9s	24
Andrew Jones	Brad Jones Racing	50	+ 32.0s	18
Paul Dumbrell	HSV Dealer Team	50	+ 32.8s	9
Paul Morris	Team Sirromet Wines	50	+ 34.0s	25
Fabian Coulthard	Glenfords Racing	50	+ 36.2s	23
Shane Price	Jack Daniel's Racing	50	+ 37.1s	26
Michael Patrizi	Ford Rising Stars Racing	50	+ 42.0s	27
James Courtney	Stone Brothers Racing	50	+ 45.4s	5
Tony D'Alberto	Rod Nash Racing	50	+ 45.6s	28
Marcus Marshall	Britek Motorsport	49	+ 1 lap	20
Kayne Scott	Team Kiwi Racing	49	+ 1 lap	29
Lee Holdsworth	Garry Rogers Motorsport	49	+ 1 lap	21
Jason Richards	Tasman Motorsport	22	Engine	11
Andrew Thompson	Paul Weel Racing	7	Engine	19
Shane Van Gisbergen	Stone Brothers Racing	0	Collision	10
Michael Caruso	Garry Rogers Motorsport	0	Collision	12
Jason Bright	Britek Motorsport	0	Collision	15
