Episode	Reward	Leader Battle	Immunity	Individual Immunity	Eliminated	Vote	Finish
1	Pitogo	Pitogo	Pitogo	Tblizzi	Indira	5-4	1st Voted Out Day 4
2	Tayak	Svetlin	Tayak	Iva	Maria	6-2-1	2nd Voted Out Day 7
3	Tayak	Kiril	Tayak	Iva	Plamen	No Vote	Left Day 9
3	Tayak	Kiril	Tayak	Iva	Ralica K.	4-4	3rd Voted Out Day 10
4	Pitogo	None	Tayak	Iva	Georgi P.	5-2	4th Voted Out Day 13
5	Pitogo	Kiril	Pitogo	None	Noncho	No Vote	Died Day 14
6	Tayak	Svetlin	Mindanao	None	Svetoslav	No Vote	Left Day 18
6	Tayak	Svetlin	Mindanao	None	Svetlin	5-0	5th Voted Out Day 18
7	Pitogo	Kiril	None	None	Emanuela	No vote	Left Day 21
8	Mindanao	Nikolai Ivan	Pitogo	Hristina	Ivan	5-3	6th Voted Out Day 24
9	None	None	Mindanao	None	Nikolai	4-3	7th Voted Out Day 25
10	None	None	Mindanao	Iva	Verislav	5-1	8th Voted Out Day 27
